street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
10th Avenue,left,-170.561730647093,"[1, 19]","[[40.741073, -74.009227], [40.739952, -74.009472]]",126.19409117631238,-170.561730647093,19,6.641794272437494,0.0,Avenue,10
10th Avenue,left,-150.41301673914862,"[20, 43]","[[40.742288, -74.00832], [40.741552, -74.008912]]",95.81388840778548,-148.5424504667902,24,3.9922453503243953,-1.8705662723584169,Avenue,10
10th Avenue,left,-150.41301673914862,"[44, 57]","[[40.741552, -74.008912], [40.741073, -74.009227]]",59.47528887175908,-153.4264737812079,14,4.248234919411363,3.0134570420592866,Avenue,10
10th Avenue,left,-152.26307715767697,"[58, 77]","[[40.743584, -74.007424], [40.742928, -74.007856]]",81.47486454463738,-153.3951711444206,20,4.073743227231869,1.1320939867436266,Avenue,10
10th Avenue,left,-152.26307715767697,"[78, 95]","[[40.742928, -74.007856], [40.742288, -74.00832]]",81.1603597996677,-151.12659619025138,18,4.508908877759317,-1.136480967425598,Avenue,10
10th Avenue,left,-146.8989680579085,"[96, 112]","[[40.744144, -74.006944], [40.743584, -74.007424]]",74.2349858589114,-146.8989680579085,17,4.366763874053611,0.0,Avenue,10
10th Avenue,left,-151.22018815988147,"[113, 128]","[[40.74472, -74.006528], [40.744144, -74.006944]]",72.97872054884314,-151.22018815988147,16,4.561170034302696,0.0,Avenue,10
10th Avenue,left,-150.73327491040016,"[129, 151]","[[40.745328, -74.00608], [40.74472, -74.006528]]",77.39717612768986,-150.73327491040016,23,3.3650946142473854,0.0,Avenue,10
10th Avenue,left,-149.39403241803797,"[152, 167]","[[40.745904, -74.005632], [40.745328, -74.00608]]",74.31734781425381,-149.39403241803797,16,4.644834238390863,0.0,Avenue,10
10th Avenue,left,-152.45726969119931,"[168, 186]","[[40.746464, -74.005248], [40.745904, -74.005632]]",70.13616892729304,-152.45726969119931,19,3.6913773119627917,0.0,Avenue,10
10th Avenue,left,-149.30705734776848,"[187, 199]","[[40.74712, -74.004736], [40.746464, -74.005248]]",84.71536854438986,-149.30705734776848,13,6.516566811106912,0.0,Avenue,10
10th Avenue,left,-151.42843974899316,"[200, 220]","[[40.748416, -74.003808], [40.747792, -74.004288]]",80.28132630983689,-149.67165209056003,21,3.822920300468423,-1.756787658433126,Avenue,10
10th Avenue,left,-151.42843974899316,"[221, 240]","[[40.747792, -74.004288], [40.74712, -74.004736]]",83.66869548730048,-153.11410297634882,20,4.183434774365024,1.6856632273556613,Avenue,10
10th Avenue,left,-152.82643251657333,"[241, 258]","[[40.749056, -74.003376], [40.748416, -74.003808]]",79.88886657883558,-152.82643251657333,18,4.438270365490865,0.0,Avenue,10
10th Avenue,left,-150.11808720849976,"[259, 276]","[[40.749776, -74.002832], [40.749056, -74.003376]]",92.2147638177811,-150.11808720849976,18,5.123042434321173,0.0,Avenue,10
10th Avenue,left,-150.53607620720774,"[277, 295]","[[40.750336, -74.002416], [40.749776, -74.002832]]",71.42512930669017,-150.53607620720774,19,3.7592173319310613,0.0,Avenue,10
10th Avenue,left,-150.30089225339123,"[296, 312]","[[40.750976, -74.001936], [40.750336, -74.002416]]",81.81913179746853,-150.30089225339123,17,4.812890105733443,0.0,Avenue,10
10th Avenue,left,-151.9718681411061,"[313, 330]","[[40.751616, -74.001488], [40.750976, -74.001936]]",80.51428887499506,-151.9718681411061,18,4.473016048610837,0.0,Avenue,10
10th Avenue,left,-146.78097775118013,"[331, 344]","[[40.752192, -74.000992], [40.751616, -74.001488]]",76.45889556852642,-146.78097775118013,14,5.461349683466173,0.0,Avenue,10
10th Avenue,left,-155.12277002312726,"[345, 366]","[[40.752848, -74.000592], [40.752192, -74.000992]]",80.29899231136032,-155.12277002312726,22,3.6499541959709236,0.0,Avenue,10
10th Avenue,left,-148.84825395936747,"[367, 382]","[[40.753472, -74.000096], [40.752848, -74.000592]]",80.97046724663127,-148.84825395936747,16,5.060654202914455,0.0,Avenue,10
10th Avenue,left,-149.0721820430567,"[383, 411]","[[40.754, -73.99968], [40.753472, -74.000096]]",68.35254230736831,-149.0721820430567,29,2.356984217495459,0.0,Avenue,10
10th Avenue,left,-151.59704831244187,"[412, 427]","[[40.75472, -73.999168], [40.754, -73.99968]]",90.89709339038951,-151.59704831244187,16,5.681068336899345,0.0,Avenue,10
10th Avenue,left,-152.29752211421655,"[428, 449]","[[40.755392, -73.998704], [40.75472, -73.999168]]",84.28639559934338,-152.29752211421655,22,3.8311997999701535,0.0,Avenue,10
10th Avenue,left,-147.78603507257452,"[450, 467]","[[40.755952, -73.99824], [40.755392, -73.998704]]",73.50211821131126,-147.78603507257452,18,4.083451011739514,0.0,Avenue,10
10th Avenue,left,-149.48781555817476,"[468, 483]","[[40.756592, -73.997744], [40.755952, -73.99824]]",82.49520592689427,-149.48781555817476,16,5.155950370430892,0.0,Avenue,10
10th Avenue,left,-152.806024006865,"[484, 499]","[[40.757184, -73.997344], [40.756592, -73.997744]]",73.91083256331669,-152.806024006865,16,4.619427035207293,0.0,Avenue,10
10th Avenue,left,-150.97427220605343,"[500, 519]","[[40.757776, -73.996912], [40.757184, -73.997344]]",75.18401846657243,-150.97427220605343,20,3.7592009233286214,0.0,Avenue,10
10th Avenue,left,-151.36842240953487,"[520, 534]","[[40.7584, -73.996464], [40.757776, -73.996912]]",78.94852961731864,-151.36842240953487,15,5.263235307821243,0.0,Avenue,10
10th Avenue,left,-151.13251151697398,"[535, 555]","[[40.75904, -73.996], [40.7584, -73.996464]]",81.15596731618778,-151.13251151697398,21,3.8645698721994184,0.0,Avenue,10
10th Avenue,left,-149.2057774072405,"[556, 574]","[[40.759632, -73.995536], [40.75904, -73.996]]",76.53105442250296,-149.2057774072405,19,4.027950232763314,0.0,Avenue,10
10th Avenue,left,-155.4760609344451,"[575, 594]","[[40.760352, -73.995104], [40.759632, -73.995536]]",87.88354237925888,-155.4760609344451,20,4.394177118962944,0.0,Avenue,10
