FULL,Year,PG,ID,ID2,CAT_ORG,CAT_MOD,FULL.1,Position,Nation,Name,Addy_Clean,Address,Nationality - Katherine Vote,Nationality - Zehra Vote,Nationality - Jessica,Nationality Final,api_result1,api_result2,nationality_api,nationality_ipums,Origin_api,Gender - Katherine Vote,Gender - Zehra Vote,Gender - Jessica,Gender - Final,Gender_api,gender_combined,gender_final,Notes,Arrival / I Record,CORNER,Address2,ST combi,ST Name,ST Name 2,ST Name 3,ST Name 4,ST Name 5,ST Name 6,Last,First,probability1,probability12,if error,if>40,final_api,final_ancestry,country_match,region_match,Final Result,,,
"Aueringer Erhard, 151 E 4th",1898_TrowBusMan,951,127,1898_TrowBusMan_127,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Aueringer Erhard, 151 E 4th",18,,Aueringer Erhard ,151 E 4th ,151 E 4th,German,,German,German,Austrian,German,German,German,Western Europe,m,,,m,m,m,m,,,N,151,E 4th ,E,4th,,,,,Aueringer,Erhard,0.719531343,0.749739975,,0.508446986,Austrian,German,,,American,,,
"Brandstaedter Herman, 175 E Houston",1898_TrowBusMan,952,276,1898_TrowBusMan_276,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Brandstaedter Herman, 175 E Houston",22,,Brandstaedter Herman ,175 E Houston ,175 E Houston,German,German,German,German,Austrian,German,German,German,Western Europe,m,m,,m,m,m,m,,,N,175,E Houston ,E,Houston,,,,,Brandstaedter,Herman,0.443208015,0.617127506,,0.574866782,Austrian,German,,,American,,,
"Deixler Max, 96 Allen",1898_TrowBusMan,954,471,1898_TrowBusMan_471,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Deixler Max, 96 Allen",13,,Deixler Max ,96 Allen st  ,96 Allen,German,,,German,Austrian,German,German,German,Western Europe,m,m,,m,m,m,m,,,N,96,Allen st  ,Allen,,,,,,Deixler,Max,0.460344599,0.560093202,,0.6015863,Austrian,German,,,American,,,
"Gerstenberger Richard G. 406, 7th av",1898_TrowBusMan,955,730,1898_TrowBusMan_730,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Gerstenberger Richard G. 406, 7th av",25,,Gerstenberger Richard G ,406 7th av ,"406, 7th av",German,,,German,Austrian,German,German,German,Western Europe,m,m,,m,m,m,m,,,N,406,7th av ,7th,av,,,,,Gerstenberger,Richard,0.500237537,0.664871392,,0.505235179,Austrian,German,,,American,,,
"Greitner Herman, 1321. 3d av",1898_TrowBusMan,956,788,1898_TrowBusMan_788,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Greitner Herman, 1321. 3d av",17,,Greitner Herman ,1321 3rd av ,1321. 3d av,German,,,German,Austrian,German,German,German,Western Europe,m,m,,m,m,m,m,,,N,1321,3rd av ,3rd,av,,,,,Greitner,Herman,0.486041846,0.730352132,,0.577624025,Austrian,German,,,American,,,
"Hekeler Elizabeth, 1813 Amsterdam av",1898_TrowBusMan,956,872,1898_TrowBusMan_872,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hekeler Elizabeth, 1813 Amsterdam av",19,,Hekeler Elizabeth ,1813 Amsterdam av ,1813 Amsterdam av,German,,,German,Austrian,Irish,undecided,undecided,Western Europe,f,f,,f,f,f,f,,,N,1813,Amsterdam av ,Amsterdam,av,,,,,Hekeler,Elizabeth,0.506114132,0.57579218,,0.550419808,Austrian,German,,,American,,,
"Hoefler George J. 344, 6th av",1898_TrowBusMan,956,913,1898_TrowBusMan_913,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hoefler George J. 344, 6th av",18,,Hoefler George J ,344 6th av ,"344, 6th av",German,,,German,Austrian,German,German,German,Western Europe,m,m,,m,m,m,m,,,N,344,6th av ,6th,av,,,,,Hoefler,George,0.523851703,0.649758658,,0.655957944,Austrian,German,,,American,,,
"Hoffer Cornelia. 508, 11th av",1898_TrowBusMan,956,916,1898_TrowBusMan_916,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hoffer Cornelia. 508, 11th av",17,,Hoffer Cornelia ,508 11th av ,"508, 11th av",German,,,German,Austrian,Swiss,undecided,undecided,Western Europe,f,f,,f,f,f,f,,,N,508,11th av ,11th,av,,,,,Hoffer,Cornelia,0.492413189,0.61204695,,0.56185575,Austrian,German,,,American,,,
Takakjian Henry. 242 E 41st,1898_TrowBusMan,962,1845,1898_TrowBusMan_1845,Restaurants (Marked thus + are oyster saloons.),Restaurant,Takakjian Henry. 242 E 41st,17,,Takakjian Henry ,242 E 41st ,242 E 41st,,,Armenian,Armenian,Irish,Indonesian,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,242,E 41st ,E,41st,,,,,Shanley,Brothers,0.75667961,0.93344987,,0.857312354,Irish,Armenian,,New York/Irish,American,,,
"Hollender F. & Co, 149 W 125th",1898_TrowBusMan,956,928,1898_TrowBusMan_928,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Hollender F. & Co, 149 W 125th",19,,Hollender F & Co ,149 W 125th ,149 W 125th,German,,,German,Austrian,German,German,German,Western Europe,,,,,m,undecided,undecided,,,N,149,W 125th ,W,125th,,,,,Hollender,F,0.460975162,0.462980328,,FALSE,FALSE,Armenian,,,Armenian,,,
