Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
4841,532,1870,Trows,190,Restaurant,Refused,57 W. Houston St. ,Manhattan,New York,New York,57,W. Houston St. ,,,,,,,,Refused
4842,1,1933,Philips,668,Restaurants,Abbasia,1523 3 Ave. ,Manhattan,New York,New York,1523,3,Ave.,,,,,,,Abbasia
4843,1,1933,Philips,668,Restaurants,Abend Nathan,207 Canal St. ,Manhattan,New York,New York,207,Canal,St.,,,,,,,Abend
4844,1,1933,Philips,668,Restaurants,Aberbach S. ,165 Canal St. ,Manhattan,New York,New York,165,Canal,St.,,,,,,,Aberbach
4845,1,1933,Philips,668,Restaurants,Academy Cafeteria,146 E. 14 St. ,Manhattan,New York,New York,146,E. 14,St.,,,,,,,Academy
4846,1,1933,Philips,668,Restaurants,Ace Cafeteria Inc.,1 E. 27 St. ,Manhattan,New York,New York,1,E. 27,St.,,,,,,,Ace
4847,1,1933,Philips,668,Restaurants,Achner & Lambert,246 Greenwich St. ,Manhattan,New York,New York,246,Greenwich,St.,,,,,,,Achner
4848,1,1933,Philips,668,Restaurants,Adams Hugh,369 7 Ave. ,Manhattan,New York,New York,369,7,Ave.,,,,,,,Adams
4849,1,1933,Philips,668,Restaurants,Adams Rose R.,288 8 Ave. ,Manhattan,New York,New York,288,8,Ave.,,,,,,,Adams
4850,1,1933,Philips,668,Restaurants,Addieg F.,26 W. 18 St. ,Manhattan,New York,New York,26,W. 18,St.,,,,,,,Addieg
4851,1,1933,Philips,668,Restaurants,Adler & Haskell,95 Spring St. ,Manhattan,New York,New York,95,Spring,St.,,,,,,,Adler
4852,1,1933,Philips,668,Restaurants,Aero Lunch,202 W. 19 St. ,Manhattan,New York,New York,202,W. 19,St.,,,,,,,Aero
4853,1,1933,Philips,668,Restaurants,Ahrend Fred,269 Pearl St. ,Manhattan,New York,New York,269,Pearl,St.,,,,,,,Ahrend
4854,1,1933,Philips,668,Restaurants,Alamo Restaurant,253 W. 125 St. ,Manhattan,New York,New York,253,W. 125,St.,,,,,,,Alamo
4855,1,1933,Philips,668,Restaurants,Alaba,210 E. 116 St. ,Manhattan,New York,New York,210,E. 116,St.,,,,,,,Alaba
