raw,potential,counts
eng force,?,4939
east houston street,e houston street,4637
blackwells island,blackwells n,4014
forsythe street,forsyth street,3987
houston street,houston street,3249
willet street,willett street,3005
eldrige street,eldridge street,2877
st marks place,saint marks place,2252
central park west,?,1840
columbus avenue,?,1733
macdougal street,mac dougal street,1664
amsterdam avenue,9th avenue,1466
west houston street,houston street,1461
east 8th,e 8th street,1416
rutgers place monroe street,monroe street,1350
rutgers place known as monroe st,monroe street,1348
fortieth street,40th street,1308
west thirty 3rd street,w 33rd street,1276
revington street,rivington street,1271
sixty 2nd street,62nd street,1263
twenty eight street,28th street,1230
lafayette street,?,1210
amsterdam ave,9th avenue,1090
mcdougal,mac dougal street,1069
east 102nd street,w 102nd street,1068
pleasant avenue,?,1036
west houston,w houston street,1029
bleeker street,bleecker street,1002
catharine street,catherine street,997
west 8th street,e 8th street,960
east one hundred twenty 1st street,e 121st street,950
frist avenue,1st avenue,922
seven street,7th street,916
east 12th,e 12th street,914
105,105th street,908
west twenty 4th street,w 24th street,904
east sixtieth street,e 16th street,882
one hundred and eight street,108th street,882
suffock street,suffolk street,881
sixty 3rd street,63rd street,869
pleasant ave,?,858
117 th street,117th street,840
east 8th str,e 8th street,837
east 103th street,e 103rd street,833
one hundred and seven street,107th street,826
w85 street,w 85th street,795
chrystel street,chrystie street,793
mcdougal street,mac dougal street,786
east fifty eight street,e 58th street,783
west 36 mills hotel,w 36th street,767
chrystal street,chrystie street,763
columbus ave,9th avenue,757
west fifty2nd street,w 52nd street,745
forty 7th street,47th street,727
west thirty 7th street,w 37th street,722
mallery street,?,700
west fortieth street,w 40th street,698
matt street,mott street,696
e 64 str,e 64th street,684
chrystre street,chrystie street,682
west fifty3rd street,w 53rd street,651
east one hundred 20th street,e 120th street,635
e 8th st st marks pl,e 8th street,622
west 73d street,w 73rd street,620
west thirty 1st street,w 31st street,617
forty1st street,41st street,616
rutger street,rutgers street,614
17st st east,e 17th street,612
broom street,broome street,606
east 81th street,e 81th street,602
east 10th 10th street,e 10th street,600
frist street,1st street,600
common street,?,595
w41 street,w 41st street,594
st markes place,saint marks place,591
east end avenue,?,590
worfolk street,norfolk street,580
east 101st street,101st street,570
east 4th 4th street,e 4th street,569
6th str,6th street,568
west fifty 3rd street,w 53rd street,567
munroe street,monroe street,560
east fifty 1st street,e 51st street,557
w42 street,w 42nd street,554
west seventy 2nd street,w 72nd street,549
stauton street,stanton street,548
104,104th street,548
east 13th steet,e 13th street,544
18st st east,e 18th street,543
west 22th street,w 22nd street,539
chery street,cherry street,535
west fifty4th street,w 54th street,533
29 street west,w 29th street,530
eldredge street,eldridge street,529
west seventy 6th street,w 76th street,528
cart 4th street,4th street,527
18 street bet 7  8 ave,18th street,526
east eighty5th street,e 85th street,522
east twenty 7th street,e 27th street,522
essey street,essex street,520
west twenty 3rd street,w 23rd street,520
seventieth street west,w 70th street,519
e 6th str,e 6th street,518
east 100 th street,e 100th street,512
west 54th,w 54th street,510
mulbery street,mulberry street,504
west twenty 9th street,w 29th street,502
street,?,501
olwen street,?,500
east 111 sst,e 111th street,500
east 11 8th street,e 118th street,500
allen str,allen street,500
chuptee street,?,500
east eigth str,e 8th street,500
w86 street,w 86th street,498
w17 street,w 17th street,491
east muth street,"?south street, e 7th street, e 9th street, dutch street, e 5th street, w 9th street, e 8th street, e 6th street, w 4th street, e 4th street",488
west seventy 3rd street,w 73rd street,485
chatham square,chatham street,475
east seventy 7th street,e 77th street,471
dalaney street,delancey street,469
75th east,e 75th street,469
minnetta lane,minetta lane,465
e 11 8th street,e 118th street,461
w56 street,w 56th street,461
peny street,?,455
gonverneur street,gouverneur street,453
west 45,w 45th street,452
chrystee street,chrystie street,450
aven c,c avenue,450
cleveland place,?,443
w broadway,west broadway,443
76 th east,e 76th street,442
22nd st east,e 22nd street,442
east fifty 2nd street,e 52nd street,442
west 10th,w 10th street,441
1st av,1st avenue,428
east 100th street,e 100th street,422
west forty 1st street,e 41st street,422
east twenty 3rd street,e 23rd street,421
mcdougall street,mac dougal street,418
6th,6th street,418
seventy 1st street west,w 71st street,415
35th st west,w 35th street,414
bleeker,bleecker street,411
east twenty eight street,e 28th street,410
w61 street,w 61st street,409
east111 street,e 111th street,403
forty 1st street,e 41st street,400
ludlam street,?,400
orchand street,orchard street,400
west 19 street bet 7  8 avenue,w 19th street,399
sutton place,?,399
west fifty1st street,w 51st street,399
east houton street,e houston street,399
east eighty 5th,e 85th street,397
east 121th street,e 121st street,393
greenwick street,greenwich street,389
blecker street,bleecker street,387
west twenty 8th street,w 28th street,385
east bway,east broadway,385
east sixty 3rd street,e 63rd street,383
west fourty 9th street,w 49th street,383
srevice street,?,381
east 11th str,e 11th street,369
dovers street,dover street,366
west thirty4th street,w 34th street,365
clackum,?,360
achard street,orchard street,350
twenty1st street,21st street,350
111th st east,e 111th street,350
fifty 4th street,54th street,350
east 90 th street,e 90th street,350
eldridge str,eldridge street,350
eighty3rd street,83rd street,350
east one hundred and 18th street,e 118th street,349
east 117 st bet 1st  2nd ave,e 117th street,349
west thirty 8th street,w 38th street,346
west 23d street,w 23rd street,346
forty 6th street,46th street,341
west 55th,w 55th street,337
barter street,baxter street,335
east 120 th street,e 120th street,335
mills hotel no 1,?,333
w16 street,w 16th street,330
leray street,leroy street,328
delaney street,delancey street,327
west seventy 1st street,w 71st street,326
bethume street,bethune street,324
eighty2nd street,82nd street,320
west thirty 4th street,w 34th street,314
avenue w,?,313
west 4th,w 4th street,311
marlberry street,mulberry street,309
costle william,?,307
chiton street,clinton street,305
west seventy 7th street,w 77th street,300
hudack street,?,300
cherry of,cherry street,300
west seventy2nd street,w 72nd street,300
clarry street,cherry street,300
east 115 f setrem 1st and plesant ave,e 115th street,300
east eight str,e 8th street,299
east 118,e 118th street,297
pett street,pitt street,296
east fiftieth street,e 15th street,295
cornice street,?,295
grand str,grand street,294
blacker street,bleecker street,291
tane street,?,289
west 7 street,w 7th street,288
west 41,w 41st street,288
houston,houston street,288
molt street,mott street,287
west eighty 3rd street,w 83rd street,286
west 2nd street,w 2nd street,282
vandaveer street,vandewater street,280
3d ave,3rd avenue,278
west sixty eight street,w 68th street,276
west eighty 2nd street,w 82nd street,276
eight avenue,8th avenue,275
w53 street,w 53rd street,274
west sixty 9th street,w 69th street,272
w77 street,w 77th street,272
west sixty 5th street,w 65th street,270
desbroses street,desbrosses street,270
rutgers place known as monroe street,monroe street,265
minnetta street,minetta street,263
twenty 8th street,28th street,263
35 st west,w 35th street,260
west 59th,w 59th street,258
rennick street,renwick street,256
swenty 6th street,26th street,250
east 102th street,e 102nd street,250
west forty6th 46 street,w 46th street,250
east 118st,e 118th street,250
ohenry street,henry street,250
26 st to 28 st 1 ave to ek,26th street,250
pait 3rd street,3rd street,250
west fifty6th street,w 56th street,250
pleasant ave setn 115 and 116 street,?,249
esser street,essex street,249
west 39th,w 39th street,249
katherine street,catherine street,248
continued frin,?,247
beckman place,beekman place,246
seventy 9th street,79th street,246
west twenty8th,w 28th street,245
east ninetieth street,e 19th street,244
east 122 nd street,e 122nd street,241
east 89th st  ave a,e 89th street,239
laffayette street,?,238
east twenty 2nd street,e 22nd street,237
1st 1st avenue,1st avenue,237
west forty3rd street,w 43rd street,236
frist ave,1st avenue,234
18th st east,e 18th street,232
west twenty 5th street,w 25th street,231
wash pl,washington place,229
forty eight street,48th street,229
twenty joest street,?,225
east 10th str,e 10th street,224
pier 13 east river,pier 13,223
west forty7th 47 street,2 47th street,222
west 39 av,w 39th street,221
east houstan street,e houston street,220
park road,park row,219
park pow,park row,218
stompson street,thompson street,215
east eight street,e 8th street,214
market slip,market street,213
washington square north,washington square n,213
mallberry street,mulberry street,211
washington square west,washington square w,210
east 100 street,e 100th street,209
jackson slip,jackson street,209
w33 street,w 33rd street,208
8th 8 avenue,8th avenue,208
west fortutt street,w 40th street,208
442 west 23rd street,w 23rd street,206
nineth avenue,9th avenue,206
blacker,bleecker street,206
man cotton street,?,203
washington square south,?,201
suffork street,suffolk street,201
east 123st street,e 123rd street,200
e 8th street st marks place,e 8th street,200
varn darn street,vandam street,200
east 116 bepr firt and plea and ave,e 116th street,200
manion street,marion street,200
west seventy 5th street,w 75th street,200
west 36th st mills hotel,w 36th street,200
east 116,e 116th street,200
east one hundred and 20th street,e 120th street,200
east 115 deln plea ant ave frut ave,e 115th street,200
olwer street,oliver street,200
east 73rd str,e 73rd street,200
west 81th street,w 81st street,200
goerks street,goerck street,200
hardison street,harrison street,199
dousay street,?,199
braford street,bedford street,198
east 122d street,e 122nd street,198
east 89th street  ave a,e 89th street,198
7 to 23 w 15 street6 to 14 w 16 street,w 15th street,197
east 17tte street,e 17th street,197
hildson street,hudson street,196
olives street,oliver street,194
east 87 th street,e 87th street,194
east fifty 7th street,e 57th street,193
peart street,pearl street,191
brome street,broome street,190
east 108,e 108th street,189
van darn street,vandam street,188
