,Unnamed: 0.1,Unnamed: 0.1.1,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name,census_match_full,census_match_1,census_match_1p,first_name,census_match_full_2,census_match_2,census_match_2p,addresses,Coordinates,Lat,Lon
0,0,7500,,1920.0,Phillip's,1186.0,,Lutes Restaurant Inc.,51 W 14 St.,,New York,New York,51,W,14,St.,,,,,,Lutes,,,,Restaurant,,,,W 14 St. 51,"(nan, nan)",,
1,163,163,947,1910,Trow,826.0,Restaurant,Fischer Restaurant Co,51 W 14 St.  ,Manhattan,New York,New York,51,W,14,St.,,,51 W 14 St.  ,,,Fischer,"Counter({'New York': 0.68, 'Austria': 0.63, 'Germany': 0.37, 'Other': 0.33, 'Russia': 0.32, 'England': 0.25, 'Missouri': 0.21, 'Hungary': 0.18, 'Denmark': 0.18, 'Pennsylvania': 0.17, 'Romania': 0.16, 'Scotland': 0.16, 'Canada': 0.15, 'Virginia': 0.13, 'New Jersey': 0.12, 'Maryland': 0.11, 'Bohemia': 0.1, 'Ireland': 0.04, 'Maine': 0.02, 'Switzerland': 0.02, 'Italy': 0.01})",New York,0.68,Restaurant,,,,W 14 St. 51,"(nan, nan)",,
2,3,7503,,1920.0,Phillip's,1186.0,,McDonald E. H.,380 W 125 St.,,New York,New York,380,W,125,St.,,,,,,McDonald,,,,E.,,,,W 125 St. 380,"(nan, nan)",,
3,264,10764,2048,1910,Trow,826.0,Restaurant,McDonald Edward H.,380 W 125 St.  ,Manhattan,New York,New York,380,W,125,St.,,,380 W 125 St.  ,,,McDonald,,,,Edward,"Counter({'Russia': 0.43, 'Virginia': 0.37, 'Scotland': 0.34, 'New York': 0.3, 'England': 0.3, 'Ohio': 0.26, 'Pennsylvania': 0.21, 'Illinois': 0.18, 'South Carolina': 0.15, 'Vermont': 0.13, nan: 0.13, 'New Jersey': 0.08, 'Massachusetts': 0.07, 'North Carolina': 0.06, 'Georgia': 0.06, 'California': 0.06, 'Ireland': 0.05})",Russia,0.43,W 125 St. 380,"(nan, nan)",,
4,385,1885,,1925.0,Philips,872.0,,Mantas Nicholas,380 W 125 St.,,New York,New York,380,W,125,St.,,,,,,Mantas,Counter({'Russia': 1.0}),Russia,1.0,Nicholas,,,,W 125 St. 380,"(nan, nan)",,
5,4,7504,,1920.0,Phillip's,1186.0,,McKinley Square Casino,775 E 169 St.,,New York,New York,775,E,169,St.,,,,,,McKinley,,,,Square,"Counter({'Ireland': 0.96, 'Italy': 0.45})",Ireland,0.96,E 169 St. 775,"(nan, nan)",,
6,8,7508,,1920.0,Phillip's,1186.0,,Madison Sq. Restaurant Co.,6 E 23 St.,,New York,New York,6,E,23,St.,,,,,,Madison,"Counter({'Iowa': 0.44, 'DC': 0.37, 'South Carolina': 0.36, 'England': 0.31, 'Virginia': 0.3, 'New York': 0.29, 'Louisiana': 0.25, 'Russia': 0.24, 'Maryland': 0.13, 'Ireland': 0.11, 'Denmark': 0.08, 'Illinois': 0.08, 'Michigan': 0.07, 'Massachusetts': 0.07, 'Scotland': 0.06, 'Rhode Island': 0.02})",Iowa,0.44,Sq.,,,,E 23 St. 6,"(nan, nan)",,
7,115,9615,399,1910,Trow,826.0,Restaurant,Capan C. Alfred & Frederick M. ,6 E 23 St.  ,Manhattan,New York,New York,6,E,23,St.,,,6 E 23 St.  ,,,Capan,,,,C.,,,,E 23 St. 6,"(nan, nan)",,
8,453,9953,737,1910,Trow,826.0,Restaurant,Dorlon's Restaurant,6 E 23 St.  ,Manhattan,New York,New York,6,E,23,St.,,,6 E 23 St.  ,,,Dorlon's,,,,Restaurant,,,,E 23 St. 6,"(nan, nan)",,
9,9,7509,,1920.0,Phillip's,1186.0,,Maggi H. ,103 W 38 St.,,New York,New York,103,W,38,St.,,,,,,Maggi,"Counter({'Italy': 0.85, 'Ireland': 0.62, 'Other': 0.53, 'Russia': 0.28})",Italy,0.85,H.,,,,W 38 St. 103,"(nan, nan)",,
10,381,9881,665,1910,Trow,826.0,Restaurant,DeBarbieri Angelo,103 W 38 St.  ,Manhattan,New York,New York,103,W,38,St.,,,103 W 38 St.  ,,,DeBarbieri,,,,Angelo,"Counter({'Italy': 0.95, 'Denmark': 0.38, 'Switzerland': 0.29, 'Pennsylvania': 0.28, 'Bulgaria': 0.23, 'New York': 0.2, 'Germany': 0.19, 'Greece': 0.16, 'England': 0.08, 'France': 0.06})",Italy,0.95,W 38 St. 103,"(nan, nan)",,
11,406,14906,,1925.0,Philips,875.0,,Surprise,103 W 38 St.,,New York,New York,103,W,38,St.,,,,,,Surprise,,,,,,,,W 38 St. 103,"(nan, nan)",,
12,10,7510,,1920.0,Phillip's,1186.0,,Magnet Lunch,130 W 36 St.,,New York,New York,130,W,36,St.,,,,,,Magnet,"Counter({'Russia': 0.83, 'Ireland': 0.71})",Russia,0.83,Lunch,,,,W 36 St. 130,"(nan, nan)",,
13,423,9923,707,1910,Trow,826.0,Restaurant,Desestret Henri,130 W 36 St.  ,Manhattan,New York,New York,130,W,36,St.,,,130 W 36 St.  ,,,Desestret,,,,Henri,"Counter({'France': 0.87, 'Italy': 0.6})",France,0.87,W 36 St. 130,"(nan, nan)",,
14,14,7514,,1920.0,Phillip's,1186.0,,Mandl J.,31 W 26 St.,,New York,New York,31,W,26,St.,,,,,,Mandl,"Counter({'Hungary': 0.8, 'Austria': 0.46, 'Germany': 0.36})",Hungary,0.8,J.,,,,W 26 St. 31,"(nan, nan)",,
15,208,10708,1992,1910,Trow,826.0,Restaurant,Mandl Joseph,31 W 26 St.  ,Manhattan,New York,New York,31,W,26,St.,,,31 W 26 St.  ,,,Mandl,"Counter({'Hungary': 0.8, 'Austria': 0.46, 'Germany': 0.36})",Hungary,0.8,Joseph,,,,W 26 St. 31,"(nan, nan)",,
16,383,1883,,1925.0,Philips,872.0,,Mandl Josef ,31 W 26 St.,,New York,New York,31,W,26,St.,,,,,,Mandl,"Counter({'Hungary': 0.8, 'Austria': 0.46, 'Germany': 0.36})",Hungary,0.8,Josef,,,,W 26 St. 31,"(nan, nan)",,
17,15,7515,,1920.0,Phillip's,1186.0,,Manhattan Dairy Restaurant,160 W 24 St.,,New York,New York,160,W,24,St.,,,,,,Manhattan,,,,Dairy,,,,W 24 St. 160,"(nan, nan)",,
18,16,7516,,1920.0,Phillip's,1186.0,,Manisof Hy.,37 W 19 St.,,New York,New York,37,W,19,St.,,,,,,Manisof,Counter({'Ireland': 1.0}),Ireland,1.0,Hy.,,,,W 19 St. 37,"(nan, nan)",,
19,447,11447,2731,1910,Trow,826.0,Restaurant,Scheer & Lebovitz,37 W 19 St.  ,Manhattan,New York,New York,37,W,19,St.,,,37 W 19 St.  ,,,Scheer,"Counter({'Austria': 0.93, 'New York': 0.67, 'Russia': 0.38, 'Germany': 0.18})",Austria,0.93,&,,,,W 19 St. 37,"(nan, nan)",,
20,19,7519,,1920.0,Phillip's,1186.0,,Maros & Terzoglos,300 E 23 St.,,New York,New York,300,E,23,St.,,,,,,Maros,Counter({'Italy': 1.0}),Italy,1.0,&,,,,E 23 St. 300,"(nan, nan)",,
21,264,764,1548,1910,Trow,826.0,Restaurant,Johnson William ,300 E 23 St.  ,Manhattan,New York,New York,300,E,23,St.,,,300 E 23 St.  ,,,Johnson,"Counter({'DC': 0.48, 'US': 0.36, 'Virginia': 0.35, 'Florida': 0.29, 'Georgia': 0.26, 'New York': 0.23, 'West Indies': 0.23, 'Sweden': 0.2, 'North Carolina': 0.18, 'Missouri': 0.18, 'Switzerland': 0.17, 'Spain': 0.15, 'Ohio': 0.14, 'Ireland': 0.13, 'Michigan': 0.13, 'Kansas': 0.12, 'England': 0.11, 'South Carolina': 0.11, 'Pennsylvania': 0.11, 'Bermuda': 0.11, 'California': 0.1, 'Norway': 0.09, 'Tennessee': 0.09, 'Scotland': 0.08, 'France': 0.08, 'Cuba': 0.08, 'Maryland': 0.07, 'Russia': 0.07, 'Canada': 0.07, 'Rhode Island': 0.07, 'Africa': 0.07, 'Germany': 0.06, 'Finland': 0.06, 'New Jersey': 0.06, 'Vermont': 0.06, 'Louisiana': 0.06, 'Massachusetts': 0.05, 'Kentucky': 0.05, 'Connecticut': 0.04, 'Arkansas': 0.04, 'Alabama': 0.04, 'Romania': 0.04, 'Other': 0.04, nan: 0.03, 'West Virginia': 0.03, 'Indiana': 0.03, 'Denmark': 0.02, 'Illinois': 0.02, 'Mississippi': 0.02, 'Turkey': 0.02, 'Austria': 0.01, 'Delaware': 0.01, 'Greece': 0.01, 'Italy': 0.01, 'Maine': 0.01, 'Minnesota': 0.01, 'Wales': 0.01, 'Wisconsin': 0.01, 'Barbados': 0.0, 'New Hampshire': 0.0, 'Hungary': 0.0})",DC,0.48,William,,,,E 23 St. 300,"(nan, nan)",,
22,393,1893,,1925.0,Philips,872.0,,Maros & Terzoglos,300 E 23 St.,,New York,New York,300,E,23,St.,,,,,,Maros,Counter({'Italy': 1.0}),Italy,1.0,&,,,,E 23 St. 300,"(nan, nan)",,
23,20,7520,,1920.0,Phillip's,1186.0,,Marsullo D.,133 W 49 St.,,New York,New York,133,W,49,St.,,,,,,Marsullo,,,,D.,,,,W 49 St. 133,"(nan, nan)",,
24,394,1894,,1925.0,Philips,872.0,,Marsullo D.,133 W 49 St.,,New York,New York,133,W,49,St.,,,,,,Marsullo,,,,D.,,,,W 49 St. 133,"(nan, nan)",,
