DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
NEW WONG RESTAURANT,Manhattan,103,EAST BROADWAY,10002.0,40.713784496016004,-73.99328337925901
NEW KING'S FOOD RESTAURANT,Brooklyn,127,MALCOLM X BOULEVARD,11221.0,40.689109953806,-73.930276934772
XI'AN FAMOUS FOODS,Manhattan,81,ST MARKS PLACE,10003.0,40.727776627925,-73.98571966254
SICHUAN HOT POT CUISINE,Manhattan,34,PELL STREET,10013.0,40.714871607948,-73.998261297422
DOWNTOWN YUMMY RESTAURANT,Manhattan,39,EAST BROADWAY,10002.0,40.713545833107,-73.996147516024
TASTY HAND-PULLED NOODLES,Manhattan,1,DOYERS STREET,10013.0,40.714086592864,-73.997633660983
SHANGHAI RESTAURANT,Queens,95-37,SUTPHIN BOULEVARD,11435.0,40.698206484402,-73.806327404673
PIG HEAVEN,Manhattan,1420,3 AVENUE,10028.0,40.775325010201996,-73.956543368639
NEW KAM WEI,Manhattan,630,10 AVENUE,10036.0,40.761354045169,-73.99419906123299
AMAZING 66 RESTAURANT,Manhattan,66,MOTT STREET,10013.0,40.716139689475,-73.998163866152
KUNG FU KITCHEN,Manhattan,610,8 AVENUE,10018.0,40.755652968850995,-73.990925757871
CHEF YU / AZUKI,Manhattan,520,8 AVENUE,10018.0,40.753605486254,-73.992416708652
FAMILY GARDEN,Brooklyn,111A,DITMAS AVENUE,11218.0,40.635581122859,-73.977773314014
BEST BAKERY,Brooklyn,5812,8 AVENUE,11220.0,40.636502464464996,-74.008521128292
BAYARD BO KY RESTAURANT,Manhattan,78-80,BAYARD ST,10013.0,40.71570053367,-73.998683331195
FAR EAST SZECHUAN KITCHEN,Queens,71-04,KISSENA BOULEVARD,11367.0,40.729462120426,-73.815177007657
GOOD TASTE CHINESE RESTAURANT,Bronx,3416,BOSTON ROAD,10469.0,40.875772553273,-73.850061256786
NEW GOLDEN RESTAURANT,Brooklyn,1483,FLATBUSH AVENUE,11210.0,40.634287449334,-73.949184779873
NEW GARDEN,Bronx,1535,WESTCHESTER AVENUE,10472.0,40.828646024589,-73.878439598149
ROYAL QUEEN/THE REAL KTV,Queens,136-20,ROOSEVELT AVENUE,11354.0,40.759777908235,-73.829235428489
JAC MAO CHINESE CUISINE,Staten Island,1771,HYLAN BOULEVARD,10305.0,40.585834895919,-74.09274297129001
HAO WONG RESTAURANT,Bronx,1791,MONROE AVENUE,10457.0,40.84639233934,-73.906520072771
SUNRISE ZOU,Queens,9607,101ST AVE,11416.0,40.684615219169004,-73.84478502868801
NORTHERN WANGMANDOO DUMPLING,Queens,14944,NORTHERN BLVD,11354.0,40.765290647682,-73.815846131964
LONG HING KITCHEN,Queens,104-22,LIBERTY AVENUE,11417.0,40.682106262902,-73.836718190929
MASTER WOK,Bronx,200,BAYCHESTER AVENUE,10475.0,40.865905409786,-73.830429747919
DOUBLE DRAGON,Brooklyn,4318,4 AVENUE,11232.0,40.650231848908,-74.008670642647
TANG PAVILION,Manhattan,65,WEST   55 STREET,10019.0,40.762493679864,-73.976868043238
FOO-HING KITCHEN,Bronx,2895,SEDGWICK AVENUE,10468.0,40.874944128223,-73.901261908268
ZOU'S RESTAURANT BUFFET,Brooklyn,233,UTICA AVENUE,11213.0,40.670772495699,-73.9309234261
68 MEI MEI BAKERY,Brooklyn,7814,NEW UTRECHT AVENUE,11214.0,40.613196820405996,-74.000691536256
NEW JIN BU RESTAURANT,Brooklyn,49,MOTHER GASTON BOULEVARD,11233.0,40.679981943193,-73.908448766018
CHI DUMPLING HOUSE,Brooklyn,77,CHRISTIE ST,,0.0,0.0
WA LUNG KITCHEN,Manhattan,557,GRAND STREET,10002.0,40.714032758625,-73.980207177182
NEW DRAGON SEA CHINESE RESTAURANT,Bronx,2302,CROTONA AVENUE,10458.0,40.85213352572,-73.88450903737099
SHUN FAT KITCHEN,Brooklyn,1716,PITKIN AVENUE,11212.0,40.669786276254,-73.909940791349
NANBEI FOOD,Queens,136-20,ROOSEVELT AVENUE,11354.0,40.759777908235,-73.829235428489
KING WAH,Queens,6417,FRESH POND RD,11385.0,40.710150255845,-73.899227324644
ORIENTAL CHINESE RESTAURANT,Manhattan,3774,BROADWAY,10032.0,40.833895703014,-73.944984344481
HARDEE,Brooklyn,351,MYRTLE AVENUE,11205.0,40.69322573037,-73.97218982462499
GREAT WALL,Bronx,594,GRAND CONCOURSE,10451.0,40.819706195424,-73.926757836142
NEW OCEAN,Manhattan,393,LENOX AVENUE,10027.0,40.810803357656,-73.943280350183
Da Ge Xiao Chi,Brooklyn,4903,7 AVENUE,11220.0,40.642900739632,-74.00541585143
WONDERFUL RESTAURANT,Bronx,518,EAST  240 STREET,10470.0,40.901165197847,-73.861981034299
XIN XING RESTAURANT,Bronx,1520,METROPOLITAN AVENUE,10462.0,40.839445675105,-73.858470223583
HAN WONG RESTAURANT,Brooklyn,8510,20 AVENUE,11214.0,40.605074979949,-73.997777990814
JJM CAFE,Brooklyn,6310,20 AVENUE,11204.0,40.617458477602,-73.98489688868901
CHOPSTICKS HOUSE,Staten Island,895,HUGUENOT AVENUE,10312.0,40.532530854657004,-74.19207906576
WIN XIN RESTAURANT,Brooklyn,6001,14 AVENUE,11219.0,40.627447685993,-73.99639027159
GRANDMA'S DIM SUM,Queens,40-24,COLLEGE POINT BOULEVARD,11354.0,40.757688085016,-73.834128206733
NEW HONG KONG RESTAURANT,Brooklyn,249A,SCHENECTADY AVENUE,11213.0,40.670156598023,-73.933764680468
GOOD TASTE 88,Brooklyn,773,52 STREET,11220.0,40.640444150865996,-74.005610225574
AUTUMN ASIAN,Brooklyn,349,FLATBUSH AVENUE,11238.0,40.676979437862,-73.972304781755
EMPIRE CORNER II,Manhattan,1415,5 AVENUE,10029.0,40.800487432208,-73.946572413814
NEW GOLDEN STAR RESTAURANT,Manhattan,4247,BROADWAY,10033.0,40.849780417529004,-73.936158731473
DIM SUM GO GO,Manhattan,5,EAST BROADWAY,10038.0,40.713496471279,-73.99782125600099
GOLDEN WAY CHINESE RESTAURANT,Queens,133-09,CROSS BAY BOULEVARD,11417.0,40.675239751276,-73.84328196650401
LIN'S GARDEN,Bronx,3986,WHITE PLAINS ROAD,10466.0,40.888147641996,-73.860254060919
WEI WILLIAMSBURGH,Brooklyn,145,BORINQUEN PLACE,11211.0,40.710654735966,-73.95417979830401
EMPIRE CHINESE RESTAURANT ZHENG,Bronx,103,FEATHERBED LANE,10452.0,40.846201073336,-73.91846960771599
PEKING HOUSE RESTAURANT INC.,Queens,9617,LIBERTY AVE,11417.0,40.680681758241,-73.842630969564
SKY FOOD COURT(SKY MALL),Queens,40-24,COLLEGE POINT BOULEVARD,11354.0,40.757688085016,-73.834128206733
LN 1380,Queens,25103,NORTHERN BLVD,11362.0,40.769017829085996,-73.736858550712
218 RESTAURANT,Manhattan,218220,GRAND STREET,,0.0,0.0
CAFE HONG KONG,Manhattan,51,BAYARD STREET,10013.0,40.715236646429,-73.997424397373
FLOWER BROOK MIFEN HOUSE,Queens,4435,KISSENA BLVD,11355.0,40.753011623488,-73.821727351589
DAI HING RESTAURANT,Queens,8785,SUTPHIN BLVD,11435.0,40.705065281099,-73.809362312343
KING HING RESTAURANT,Bronx,3227,WESTCHESTER AVENUE,10461.0,40.852028768013,-73.82907720088801
CHEN'S KITCHEN,Manhattan,200,DYCKMAN STREET,10040.0,40.864879136848,-73.926863356194
SILVER PALACE CHINESE RESTAURANT,Manhattan,3846,BROADWAY,10032.0,40.836192232967,-73.943305602028
J J NOODLE,Manhattan,19,HENRY STREET,10002.0,40.712854162216,-73.996486628928
KO WONG RESTAURANT,Bronx,935,CASTLE HILL AVENUE,10473.0,40.826347670314,-73.849750298011
KING WOK,Bronx,63,EAST KINGSBRIDGE ROAD,10468.0,40.866869963122,-73.895973552428
NEW APOLO CHINESE & SPANISH FOOD,Brooklyn,1477,MYRTLE AVENUE,11237.0,40.698971151268,-73.916771416398
NEW JIN SHING CHINESE RESTAURANT,Brooklyn,1794,BROADWAY,11207.0,40.68220310441,-73.909249730206
SAGAR CHINESE,Queens,25205,UNION TURNPIKE,11426.0,40.743636919436,-73.71835918222901
YUMMY CITY,Manhattan,1557,LEXINGTON AVENUE,10029.0,40.788074166414,-73.949305295138
LITTLE SHEEP MONGOLIAN HOT POT,Queens,13659,37 AVENUE,11354.0,40.761973871750996,-73.829338071722
YMC GOOD TASTE CHINESE RESTAURANT,Queens,47-05,FRANCIS LEWIS BOULEVARD,11361.0,40.753107398411004,-73.780396373776
EMERALD FORTUNE,Brooklyn,318,KINGS HIGHWAY,11223.0,40.604982430498,-73.978637049787
CHINA MOON,Manhattan,7,EAST   47 STREET,10017.0,40.756436227556,-73.97803964149901
HI TEA,Queens,61-24,SPRINGFIELD BOULEVARD,11364.0,40.748791196012,-73.75656517954799
SHU HAN JU AUTHENTIC CHINESE CUISINE,Manhattan,465,6 AVENUE,10011.0,40.735484803245,-73.998213848434
DAXI SICHUAN,Queens,136-20,ROOSEVELT AVENUE,11354.0,40.759777908235,-73.829235428489
FAR EAST RESTAURANT,Brooklyn,471A,5 AVENUE,11215.0,40.668176816504,-73.98711668898599
NEW GARDEN,Brooklyn,7120,13 AVENUE,11228.0,40.622416434457,-74.005237672608
UMI SUSHI & LOUNGE/ DR. SEA,Queens,4508,PARSONS BLVD,11355.0,40.755482951946,-73.815440212888
NEW SHANGHAI TAN RESTAURANT,Queens,13520,40TH RD,11354.0,40.75884874404,-73.830118577915
NEW CHUN FENG CHINESE FOOD,Queens,12518,LIBERTY AVE,11419.0,40.688181480518,-73.819114045854
HAPPY GARDEN,Queens,13206,MAPLE AVE,11355.0,40.753864832462,-73.832379989194
SHUN CHEONG iKITCHEN,Manhattan,24,WEST  111 STREET,10026.0,40.797878616611,-73.949763719865
MAX BAKERY & RESTAURANT,Queens,37-63,90 STREET,11372.0,40.749271308843,-73.876628841383
