DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
THE GRAY MARE,Manhattan,61,2 AVENUE,10003.0,40.725913352319004,-73.989634598813
PJ CARNEY'S,Manhattan,906,7 AVENUE,10019.0,40.765738551729,-73.979884899094
RAMBLING HOUSE,Bronx,4292,KATONAH AVENUE,10470.0,40.898424036247,-73.867336692173
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
CHARACTERS NYC BAR & GRILL,Manhattan,243,WEST   54 STREET,10019.0,40.764298071803005,-73.983094585048
KASTELI II,Manhattan,372,8 AVENUE,10001.0,40.748805077672,-73.995910876922
L. I. C. BAR,Queens,45-58,VERNON BOULEVARD,11101.0,40.747244567595,-73.952595435763
GREENPOINT LOUNGE,Queens,43-22,GREENPOINT AVENUE,11104.0,40.741021715182,-73.921673415784
COURTSIDE LOUNGE SPORTS BAR,Queens,6908,MYRTLE AVENUE,11385.0,40.701795688443,-73.882473107878
VERONICA'S BAR,Queens,3404,36 AVENUE,11106.0,40.755380471352,-73.92721505092301
THE PERFECT PINT,Manhattan,203,EAST   45 STREET,10017.0,40.752537516118004,-73.97267388117099
O'FLANAGAN'S BAR AND RESTAURANT,Manhattan,1664,3 AVENUE,10128.0,40.78341690065,-73.950634089958
THE HIDEOUT TAVERN,Bronx,143,EAST  233 STREET,10470.0,40.896425170898,-73.871547455917
CRONIN & PHELAN PUB & RESTAURANT,Queens,38-14,BROADWAY,11103.0,40.759275747151996,-73.91967737124
THE WILD GOOSE,Queens,5422,ROOSEVELT AVENUE,11377.0,40.744798374442,-73.910246805656
THE BEERKEEPER,Queens,5815,WOODSIDE AVE,11377.0,40.745596676227,-73.906283111238
THE WILD GOOSE,Queens,5422,ROOSEVELT AVENUE,11377.0,40.744798374442,-73.910246805656
MURPHY'S LAW,Manhattan,417,EAST   70 STREET,10021.0,40.766242540347,-73.95635437449
KEANE'S BAR & RESTAURANT,Bronx,4342,KATONAH AVENUE,10470.0,40.900062984423,-73.867640883899
O'HANLON'S BAR,Manhattan,349,EAST   14 STREET,10003.0,40.731536585101,-73.98299468347
YER MAN'S IRISH PUB,Queens,7026,88 STREET,11385.0,40.710534819371,-73.864830060204
THE BLACK SHEEP,Manhattan,583,3 AVENUE,10016.0,40.748421149452,-73.976147521269
MURPHY'S LAW,Manhattan,417,EAST   70 STREET,10021.0,40.766242540347,-73.95635437449
HIBERNIA,Manhattan,401,WEST   50 STREET,10019.0,40.763664785512,-73.98936878675299
SWIFT HIBERNIAN LOUNGE,Manhattan,34,EAST    4 STREET,10003.0,40.727467103523004,-73.992354751418
MCHALE'S BAR & GRILL,Manhattan,251,WEST   51 STREET,10019.0,40.762470273154996,-73.98458592074199
MCCANN'S PUB,Queens,36-15,DITMARS BOULEVARD,11105.0,40.774231405899,-73.90800458023001
MURPHY'S LAW,Manhattan,417,EAST   70 STREET,10021.0,40.766242540347,-73.95635437449
COURTSIDE LOUNGE SPORTS BAR,Queens,6908,MYRTLE AVENUE,11385.0,40.701795688443,-73.882473107878
FOLEY'S N.Y. PUB AND RESTAURANT,Manhattan,18,WEST   33 STREET,10001.0,40.748112604262,-73.985899349317
STAUNTON'S BAR RESTAURANT,Queens,224-07,UNION TURNPIKE,11364.0,40.735830099679,-73.746303457837
THE DEAD POET,Manhattan,450,AMSTERDAM AVENUE,10024.0,40.784852500266,-73.977091354051
FOLEY'S N.Y. PUB AND RESTAURANT,Manhattan,18,WEST   33 STREET,10001.0,40.748112604262,-73.985899349317
COURTSIDE LOUNGE SPORTS BAR,Queens,6908,MYRTLE AVENUE,11385.0,40.701795688443,-73.882473107878
MONAHAN & FITZGERALD,Queens,214-17,41 AVENUE,11361.0,40.763666504580996,-73.770567679636
THREE JOLLY PIGEONS,Brooklyn,6802,3 AVENUE,11220.0,40.636563025001,-74.025714735225
THE WILD GOOSE,Queens,5422,ROOSEVELT AVENUE,11377.0,40.744798374442,-73.910246805656
LUKE KELLYS,Queens,4904,69 STREET,11377.0,40.737507178905,-73.895945357341
IRISH PUNT,Manhattan,40,EXCHANGE PLACE,10005.0,40.705931445677,-74.010282932982
THE PERFECT PINT,Manhattan,123,WEST   45 STREET,10036.0,40.757139811436,-73.983572871335
CORNERSTONE TAVERN/THE STAG'S HEAD,Manhattan,961,2 AVENUE,10022.0,40.755407367711,-73.968146423221
HIBERNIA,Manhattan,401,WEST   50 STREET,10019.0,40.763664785512,-73.98936878675299
THE GLOBE TAVERN,Queens,49-10,SKILLMAN AVENUE,11377.0,40.746207335601,-73.915030396782
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
O'REILLY'S PUB,Manhattan,54,WEST   31 STREET,10001.0,40.747605114774,-73.988512406491
MCLOUGHLINS BAR,Queens,31-06,BROADWAY,11106.0,40.761887022838,-73.925233339452
TRIONA'S,Manhattan,237,SULLIVAN STREET,10012.0,40.729742768446,-73.999613935988
JOHN SULLIVAN'S PUB,Manhattan,210,WEST   35 STREET,10001.0,40.751909103574,-73.990767461497
THE DUBLINER,Manhattan,45,STONE STREET,10004.0,40.704331239244,-74.010340392303
THE STATION,Queens,39-50,61 STREET,11377.0,40.745871399031,-73.90327285575201
FOLEY'S N.Y. PUB AND RESTAURANT,Manhattan,18,WEST   33 STREET,10001.0,40.748112604262,-73.985899349317
GRANDSTAND TAVERN,Queens,8535,GRAND AVENUE,11373.0,40.735667344671,-73.88096616528001
NIALL'S ON 52ND,Manhattan,218,EAST   52 STREET,10022.0,40.756799256133,-73.96922861894
TRIONA'S,Manhattan,237,SULLIVAN STREET,10012.0,40.729742768446,-73.999613935988
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
THE TAP HOUSE,Queens,7207,AUSTIN STREET,11375.0,40.719220740482996,-73.84232677800101
JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001.0,40.752164413748005,-73.991377396662
MC GUINNESS'S,Queens,44-23,QUEENS BOULEVARD,11104.0,40.743342818979,-73.920270455954
MAXWELL'S,Manhattan,59,READE STREET,10007.0,40.714901634235,-74.006413723204
THE LONG ROOM,Manhattan,120,WEST   44 STREET,10036.0,40.756453675258996,-73.98395204156999
KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005.0,40.705338706862,-74.008692264913
DUBLIN HOUSE,Manhattan,225,WEST   79 STREET,10024.0,40.783494240161,-73.979150092572
SWIFT HIBERNIAN LOUNGE,Manhattan,34,EAST    4 STREET,10003.0,40.727467103523004,-73.992354751418
MC ANN'S,Manhattan,625,8 AVENUE,10018.0,40.756185423077,-73.99056473378499
5TH & MAD,Manhattan,7,EAST   36 STREET,10016.0,40.749506564548,-73.983098353126
FOLEY'S N.Y. PUB AND RESTAURANT,Manhattan,18,WEST   33 STREET,10001.0,40.748112604262,-73.985899349317
MCHALE'S BAR & GRILL,Manhattan,251,WEST   51 STREET,10019.0,40.762470273154996,-73.98458592074199
