DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
CARIDAD RESTAURANT,Queens,9019,JAMAICA AVE,11421.0,40.692892421386,-73.854448006079
CEMITAS PUEBLA RESTAURANT,Bronx,679,ALLERTON AVENUE,10467.0,40.865416789114,-73.86805357738001
JUANITO RESTAURANT,Bronx,494,EAST  138 STREET,10454.0,40.80776461455,-73.919748673439
DYCKMAN EXPRESS RESTAURANT,Manhattan,101,DYCKMAN STREET,10040.0,40.861770801137,-73.924845853614
BANI RESTAURANT,Bronx,1430,WATSON AVENUE,10472.0,40.82545560831,-73.882734422029
MAMA  MECHO,Brooklyn,200,KNICKERBOCKER AVENUE,11237.0,40.703509512193996,-73.926644345681
CHRIS RESTAURANT,Queens,11515,LIBERTY AVE,11419.0,40.685768048795,-73.827518278512
MUNCHIES,Manhattan,1405,SAINT NICHOLAS AVENUE,10033.0,40.848876218743,-73.934066770743
BLUE CAFE RESTAURANT,Brooklyn,1563B,FULTON STREET,11216.0,40.679812827194,-73.938892696541
SALA ONE NINE,Manhattan,35,WEST   19 STREET,10011.0,40.739620939697,-73.992634823167
RICO POLLO II RESTAURANT,Brooklyn,3352,FULTON STREET,11208.0,40.683726451486,-73.871872224103
JUANITO RESTAURANT,Bronx,494,EAST  138 STREET,10454.0,40.80776461455,-73.919748673439
EL GRAN MALECON RESTAURANT,Brooklyn,234,KNICKERBOCKER AVENUE,11237.0,40.702943450758,-73.925653150424
SOLIMAR GRILL,Bronx,1478,BEACH AVENUE,10460.0,40.837114811621,-73.86718114623
THE ALCOVE RESTAURANT,Queens,4111,49TH ST,11104.0,40.745979699295,-73.915272488507
TIA'S RESTAURANT,Staten Island,635,BAY STREET,10304.0,40.626495096047,-74.07553663701
KUKIZ,Staten Island,11,JEWETT AVENUE,10302.0,40.637171578333,-74.128693798627
JC MAR RESTAURANT,Brooklyn,736,NOSTRAND AVENUE,11216.0,40.673551956215,-73.950160550133
COLOMBIA CON SABOR,Queens,8317,NORTHERN BLVD,11372.0,40.755685469043,-73.884193233098
LA FLOR DEL CANARIO #2 RESTAURANT PIZZERIA,Brooklyn,2225,PITKIN AVENUE,11207.0,40.672736151322,-73.89018149462301
FRUIT AND VEGETABLES ANAYELYS BOUTIQUE,Bronx,613,CRESCENT AVENUE,10458.0,40.853687680321,-73.887922340273
EL GRAN CANARIO II RESTAURANT,Queens,11117,JAMAICA AVENUE,11418.0,40.697005278312,-73.836970065568
GABBY'S COFFEE SHOP,Brooklyn,101,DITMAS AVENUE,11218.0,40.635572903866,-73.977852581966
BUENA VISTA RESTAURANT & BAR,Manhattan,536,9 AVENUE,10018.0,40.756896532161996,-73.993726599692
GRAN VILLA RESTAURANT,Brooklyn,4002,3 AVENUE,11232.0,40.653190707078,-74.008862036378
NATURAL JUICE RESTAURANT,Brooklyn,5716,5 AVENUE,11220.0,40.641036236124,-74.014557169747
CHRIS RESTAURANT,Queens,11515,LIBERTY AVE,11419.0,40.685768048795,-73.827518278512
SUENOS AMERICANO BAR RESTAURANT,Queens,3514/16,JUNCTION BLVD,,0.0,0.0
DELICIAS COLOMBIANAS,Queens,3703,82ND ST,11372.0,40.749419223252,-73.884240259672
MORENA RESTAURANT,Bronx,935,EAST  163 STREET,10459.0,40.821000527622,-73.896648912374
ECUA POLLOS BAR RESTAURANT,Brooklyn,1262,MYRTLE AVENUE,11221.0,40.697907541641,-73.926816425147
TROPICAL SPANISH RESTAURANT,Brooklyn,3771,BROADWAY,,0.0,0.0
PECAS Y ALGO MAS,Queens,44-20,GREENPOINT AVENUE,11104.0,40.741479383622,-73.920644392066
LAS RAMBLAS,Manhattan,170,WEST    4 STREET,10014.0,40.732097768113,-74.001479363182
NEW CARRIZAL RESTAURANT,Brooklyn,1346,BROADWAY,11221.0,40.689846186718,-73.922703753159
TAQUERIA LOS JARRITOS,Manhattan,121A,NAGLE AVENUE,10040.0,40.860745675104,-73.927023373399
JM COFFEE SHOP & BAKERY,Queens,171-06,JAMAICA AVENUE,11432.0,40.707471671321,-73.788565380119
AJO & OREGANO RESTAURANT,Bronx,1556,WHITE PLAINS ROAD,10462.0,40.83940821916,-73.863815483583
WHITE MAIZE,Brooklyn,277,SMITH STREET,11231.0,40.682507821371004,-73.993308174686
LA PERLA DEL ULUA RESTAURANT,Brooklyn,354,MELROSE STREET,11237.0,40.70368330811,-73.92802550458299
TIENDA VIEJA RESTAURANT,Queens,65626564,FRESH MEADOW LANE,,0.0,0.0
DELICIAS CALENAS,Queens,9541,ROOSEVELT AVE,11372.0,40.749077614718,-73.870237432425
SALA ONE NINE,Manhattan,35,WEST   19 STREET,10011.0,40.739620939697,-73.992634823167
KALINA RESTAURANT,Brooklyn,1476,BROADWAY,11221.0,40.687411349773996,-73.918422923462
CARIDAD RESTAURANT,Manhattan,3533,BROADWAY,10031.0,40.826199269889,-73.950623907555
RESTAURANTE & PANADERIA GUATELINDA,Queens,170-18,JAMAICA AVENUE,11432.0,40.707275435949995,-73.789319839659
MELA'S CAFE,Bronx,1735,WASHINGTON AVENUE,10457.0,40.843148281661,-73.900253922366
OASIS KD BAR,Queens,10230,43RD AVE,11368.0,40.747254287501995,-73.862477971548
LA CABANA RESTAURANT,Brooklyn,106264,FLATBUSH AVENUE,,0.0,0.0
OUTSIDE LOOKING IN RESTAURANT & LOUNGE,Bronx,1877,CARTER AVENUE,10457.0,40.847318965381,-73.901913919179
PUERTO RICO RESTAURANT & PIZZA,Brooklyn,5616,5 AVENUE,11220.0,40.641596243797004,-74.013977162664
CARIBE RESTAURANT,Bronx,849,CASTLE HILL AVENUE,10473.0,40.824439486656,-73.849302968904
PALACE OF ZULY,Queens,913,WYCKOFF AVENUE,11385.0,40.696940301279994,-73.906456352297
EL BUEN GUSTO RESTAURANT,Brooklyn,5201,4 AVENUE,11220.0,40.645255055897,-74.013822982061
EL REY IV BILLIARDS STEAK HOUSE & RESTAURANT,Queens,7516,ROCKAWAY BLVD,11421.0,40.685815552022,-73.864981320907
CARIDAD SEAFOOD RESTAURANT,Bronx,410,EAST TREMONT AVENUE,10457.0,40.847589466336004,-73.90048579364199
LOMA COFFEE SHOP & RESTAURANT,Brooklyn,454,ROCKAWAY AVENUE,11212.0,40.668952352824,-73.910565547869
RICO POLLO II RESTAURANT,Brooklyn,3352,FULTON STREET,11208.0,40.683726451486,-73.871872224103
EL GRAND CHEF RESTAURANT & PIZZERIA,Bronx,237,EAST TREMONT AVENUE,10457.0,40.848954335978,-73.904589893514
EL CHEVERE CUCHIFRITOS,Manhattan,2000,3 AVENUE,10029.0,40.793983366461,-73.942926355771
TROPICAL GRILL RESTAURANT,Manhattan,2145-2151,ADAM CLAYTON POWEL BLVD,,0.0,0.0
LA PENDA II RESTAURANT,Bronx,485,EAST  180 STREET,10457.0,40.851350655359,-73.895321968814
LA ESPIGA RESTAURANT AND BAKERY,Queens,4211,102ND ST,11368.0,40.747521198162,-73.863036820562
SPAIN RESTAURANT & BAR,Manhattan,113,WEST   13 STREET,10011.0,40.736950503796,-73.99800451792301
EMPANADAS MONUMENTAL,Manhattan,3772,BROADWAY,10032.0,40.833860033534,-73.945009670295
LECHONERA & POLLO SABROSO RESTAURANT,Bronx,3326,3 AVENUE,10456.0,40.826268954563,-73.907809505
EL VIEJO GRAN CAFE,Bronx,498,EAST  138 STREET,10454.0,40.807715128309,-73.919633139112
BEKY BAKERY AND COFFEE SHOP,Queens,3778,103 STREET,11368.0,40.752737618806,-73.864188258063
TITAHS DELI GROCERY,Queens,10613,NORTHERN BLVD,11368.0,40.757766870679,-73.862593348455
OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212.0,40.668199774868,-73.90648960569399
KALINA RESTAURANT,Brooklyn,1476,BROADWAY,11221.0,40.687411349773996,-73.918422923462
SAN PEDRO,Brooklyn,320,VAN BRUNT STREET,11231.0,40.679002414113995,-74.010967380658
LOS ARRIEROS,Queens,7602,ROOSEVELT AVE,11372.0,40.747039135815,-73.8894233525
TACOS Y MAS,Queens,1831,MOTT AVE,11691.0,40.603093694177,-73.750756717031
CARACAS AREPA BAR,Brooklyn,291,GRAND STREET,11211.0,40.712986304004005,-73.957446280647
PICO DE GALLO RESTAURANT,Bronx,2233,GRAND CONCOURSE,10453.0,40.856131293851,-73.90073324095
MALECON RESTAURANT,Manhattan,4141,BROADWAY,10033.0,40.846295843125,-73.938428331247
OUR NEIGHBOURHOOD SPANISH RESTAURANT,Brooklyn,444,MOTHER GASTON BOULEVARD,11212.0,40.668199774868,-73.90648960569399
O'SIDES,Bronx,1472,OGDEN AVENUE,10452.0,40.84402805047,-73.92364072869199
LOPEZ FAMILY MARKET,Brooklyn,173,PARK AVENUE,11205.0,40.696201096883996,-73.972325616358
MICHELY DELI & FOOD MARKET,Bronx,169,WEST TREMONT AVENUE,10453.0,40.850854245097,-73.91583601604499
TAQUERIA LOS JARRITOS,Manhattan,121A,NAGLE AVENUE,10040.0,40.860745675104,-73.927023373399
PARRILLA LATINA,Bronx,2501,WEBSTER AVENUE,10458.0,40.861047508586005,-73.892042095807
REINA DE LA NUBE RESTAURANT,Brooklyn,922A,4 AVENUE,11232.0,40.655285265789,-74.003413018685
"ORGANIC FOOD, NATURAL JUICES AND COFFEE SHOP",Queens,97-06,ROOSEVELT AVENUE,11368.0,40.749270255321,-73.86827368324
J & J PIZZERIA CAFE BAR,Queens,4013,82ND ST,11373.0,40.747242239229,-73.88385789086
EBENEZER PIZZERIA RESTAURANT,Queens,11402,SUPTHIN BLVD,,0.0,0.0
ARIS POLLOS A LA BRASA,Brooklyn,691,KNICKERBOCKER AVENUE,11221.0,40.694566860155,-73.910891673053
CARIDAD RESTAURANT,Manhattan,554,WEST  181 STREET,10033.0,40.84894689122,-73.932873893386
