DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
DELICE & SARRASIN,Manhattan,20,CHRISTOPHER STREET,10014.0,40.733912065258004,-74.00066031917599
THE TEN BELLS,Manhattan,247,BROOME STREET,10002.0,40.717961771669,-73.989744063259
MOXY EAST VILLAGE,Manhattan,112,EAST   11 STREET,10003.0,40.731822850836004,-73.989835734551
LUCIEN RESTAURAUNT,Manhattan,14,1 AVENUE,10009.0,40.723407253161,-73.988310952975
LA GRENOUILLE,Manhattan,3,EAST   52 STREET,10022.0,40.759658161533,-73.97597743544401
DELICE & SARRASIN,Manhattan,20,CHRISTOPHER STREET,10014.0,40.733912065258004,-74.00066031917599
ATRIUM DUMBO,Brooklyn,15,MAIN STREET,11201.0,40.703595726117,-73.990655158805
TOUT VA BIEN,Manhattan,311,WEST   51 STREET,10019.0,40.7631374512,-73.98617050787401
LE CROCODILE,Brooklyn,80,WYTHE AVENUE,11249.0,40.722035912673,-73.957736307943
POULETTE,Manhattan,304,EAST   49 STREET,10017.0,40.754057060467,-73.968562152085
VIN ET FLEURS,Manhattan,69,THOMPSON STREET,10012.0,40.724352007366,-74.003073830174
LA VUE,Brooklyn,3202,EMMONS AVENUE,11235.0,40.584123510263,-73.93277388202401
CAFE CENTRO,Manhattan,200,PARK AVENUE,10017.0,40.754155038895,-73.976556932062
CHEZ JOSEPHINE,Manhattan,414,WEST   42 STREET,10036.0,40.758705305754,-73.993325757553
LE MONDE,Manhattan,2883,BROADWAY,10025.0,40.805569772057,-73.965684089037
BOULEY TEST KITCHEN,Manhattan,31,WEST   21 STREET,10010.0,40.74075720652,-73.99168200722801
LADUREE PARIS,Manhattan,864,MADISON AVENUE,10021.0,40.770837819844,-73.966131681782
LA BERGAMOTE,Manhattan,177,9 AVENUE,10011.0,40.744910306852,-74.002486531737
JULIETTE,Brooklyn,135,NORTH    5 STREET,11249.0,40.716939425444004,-73.959247436765
