DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
GARDENIA DELI,Manhattan,404,8 AVENUE,10001.0,40.749806887156,-73.995181763707
RALPH'S II DELI,Queens,200-01,32 AVENUE,11361.0,40.769746174710995,-73.78917921617601
ZEREGA LITTLE VIENNA DELI,Bronx,1130,ZEREGA AVENUE,10462.0,40.831407601911,-73.844589426555
COZY CORNER/CHICKEN LOVER,Manhattan,1161,2 AVENUE,10065.0,40.761949447216,-73.963367481917
BREAD & BUTTER,Manhattan,14,EAST   44 STREET,10017.0,40.754460220511,-73.979220575447
A.M. DELI JUICE BAR FOOD,Manhattan,308,EAST  116 STREET,10029.0,40.796760828471,-73.937235503061
LA BAGEL DELIGHT,Brooklyn,90,COURT STREET,11201.0,40.69113179499,-73.991681009986
MEERA DELI,Queens,11-57,44 DRIVE,11101.0,40.748475545398996,-73.949274190035
PANINI TOZT CAFE,Brooklyn,1617,ORIENTAL BOULEVARD,11235.0,40.578384696571,-73.938622265973
DELISSIMO DELI & CAFE,Manhattan,39,EAST   60 STREET,10022.0,40.764056750034,-73.970571761012
NY JUMBO BAGELS,Manhattan,1070,2 AVENUE,10022.0,40.758840330935,-73.965614405346
BAGEL CAFE,Bronx,2214,BARTOW AVENUE,10475.0,40.868993533883,-73.823338751608
PICKLES & OLIVES,Brooklyn,5601,2ND AVE,11220.0,40.645635580795,-74.020496760296
GOURMET BAGEL,Manhattan,874,LEXINGTON AVENUE,10065.0,40.766204419027,-73.965289293489
SUPREME BAGELS,Brooklyn,9401,5 AVENUE,11209.0,40.616387667092,-74.030587540634
MAX'S DELI & COFFEE SHOP,Brooklyn,2623,ATLANTIC AVENUE,11207.0,40.675693588245004,-73.897523885758
25th AVE DELI,Queens,4819,25TH AVE,11103.0,40.764861171648995,-73.905086263679
MIKES DELI RESTAURANT,Brooklyn,10013,FOSTER AVENUE,11236.0,40.649886691815,-73.903293626631
H&H BAGELS,Queens,0,JFK INTL. AIRPORT,11430.0,40.648312826068,-73.788281497594
DELI & COFFEE CORP. BREAKFAST & LUNCH,Queens,8949,165 STREET,11432.0,40.707345282729996,-73.796071675115
TAL BAGELS DELI,Manhattan,975979,FIRST AVENUE,,0.0,0.0
MERCI MARKET,Manhattan,350,WEST   42 STREET,10036.0,40.757826842596,-73.991239495956
ZEREGA LITTLE VIENNA DELI,Bronx,1130,ZEREGA AVENUE,10462.0,40.831407601911,-73.844589426555
STAR LITE DELI,Manhattan,212,WEST   44 STREET,10036.0,40.757524458576,-73.986492930854
SPARKS DELI RESTAURANT,Queens,28-31,BORDEN AVENUE,11101.0,40.738746977163,-73.94116235377301
AIRPORT DELI,Queens,8420,ASTORIA BOULEVARD,11370.0,40.764612087724,-73.884845497109
NEW MAURICE DELI,Queens,5904,55TH DR,11378.0,40.726044925415,-73.908713558003
PANINI CAFE,Manhattan,589,1 AVENUE,10016.0,40.743556891982,-73.973680832472
DOMAND'S ITALIAN GOURMET DELI & CATERERS,Queens,30-29,STRATTON STREET,11354.0,40.769642331824,-73.834686788866
BUNNY DELI,Manhattan,1522,ST NICHOLAS AVENUE,10033.0,40.852525135916,-73.931370142031
FRESNO II DELI,Manhattan,31,AVENUE C,10009.0,40.721630352016,-73.980648651104
'ESSEN,Manhattan,699,AVENUE OF AMERICAS,10010.0,40.742491991547,-73.993114470699
FIRST STOP DELI,Brooklyn,406,AVENUE M,11230.0,40.616761429238,-73.971231269469
FOOD FAIR DELI & PIZZA,Manhattan,433,WEST   34 STREET,10001.0,40.753984491178,-73.997726082422
ORANGE HUT,Queens,5317,BROADWAY,11377.0,40.753549208024,-73.907459363081
THE SPOT CAFE/KOFOO,Manhattan,67,WEST   23 STREET,10010.0,40.742395822291,-73.991577147741
G&B TERMINAL DELI,Brooklyn,22,BROOKLYN TERMINAL MARKET,11236.0,40.643402167111,-73.915468105833
2 GOOD DELI GRILL,Bronx,1103A,CASTLE HILL AVENUE,10472.0,40.829851023298,-73.850562627632
SUNSET DELI,Brooklyn,4301,4 AVENUE,11232.0,40.650294985904004,-74.008576953077
