DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
NEW CORNER,Brooklyn,7201,8 AVENUE,11228.0,40.628582862806,-74.016719596504
SOTTO VOCE RESTAURANT,Brooklyn,225,7 AVENUE,11215.0,40.670031075107005,-73.978940569703
VINO VOLO,Queens,0,JFK INT AIR PORT,11430.0,40.648312826068,-73.788281497594
IL POSTO,Brooklyn,7409,AVENUE U,11234.0,40.621320536265,-73.905154282084
BARILLA RESTAURANTS,Manhattan,1290,AVENUE OF THE AMERICAS,10119.0,40.760850108553,-73.979716722068
DOMINICK'S BAR & RESTAURANT,Bronx,2335,ARTHUR AVENUE,10458.0,40.854188025454,-73.888749295607
BELLA VIA,Queens,4746,VERNON BOULEVARD,11101.0,40.744541348252,-73.953503195484
VILLA RUSTICA RISTORANTE,Queens,7328,BELL BOULEVARD,11364.0,40.740167388906,-73.757989750862
GIOVANNIS BROOKLYN EATS,Brooklyn,1657,8 AVENUE,11215.0,40.660246732756,-73.983805873319
DINO,Brooklyn,222,DEKALB AVENUE,11205.0,40.689506138256995,-73.970493008067
Aperture,Brooklyn,552,COURT STREET,11231.0,40.675014778231,-73.99944841929
PAUL & JIMMY'S RESTAURANT,Manhattan,123,EAST   18 STREET,10003.0,40.736601231362,-73.987283830274
LUIGI'S CATERING,Queens,112-08,101 AVENUE,11419.0,40.688329614036,-73.831672757253
PICCOLA CUCINA,Manhattan,75,THOMPSON STREET,10012.0,40.724500228078,-74.002947564389
MARUZZELLA,Manhattan,1483,FIRST AVENUE,10075.0,40.771242364227,-73.953495312122
MACCHINA NYC,Manhattan,365,3 AVENUE,10016.0,40.741000308231,-73.981548783915
GRAZIELLA'S,Brooklyn,232,VANDERBILT AVENUE,11205.0,40.690461009807,-73.969313441083
COTENNA,Manhattan,21,BEDFORD STREET,10014.0,40.729116907942,-74.003539488084
JOE'S OF AVE U,Brooklyn,287,AVENUE U,11223.0,40.596941895616006,-73.973584008937
PALMA,Manhattan,28,CORNELIA STREET,10014.0,40.731411566573,-74.00213242586
CRISPY PIZZA,Staten Island,782,RICHMOND TERRACE,10301.0,40.644654154771,-74.097862677287
CAMPANIA COAL FIRED PIZZA,Staten Island,3900,RICHMOND AVENUE,10312.0,40.542928097965,-74.163890289997
CAMPAGNA QUATTRO GATTI,Manhattan,205,EAST   81 STREET,10028.0,40.775431820218,-73.955925892838
ANGELO BELLINI,Manhattan,224,EAST   53 STREET,10022.0,40.757386486132,-73.968679690719
D'ANTAN,Brooklyn,667,CLASSON AVENUE,11238.0,40.677373500356005,-73.959159945406
OLIVE GARDEN,Manhattan,2,TIMES SQUARE,10036.0,40.759302858192,-73.984857382733
VILLA MONTE PIZZERIA,Staten Island,240,ARDEN AVENUE,10312.0,40.55337766632,-74.192038468154
CELLINI,Manhattan,65,EAST   54 STREET,10022.0,40.760044512138,-73.97300649370999
MIKE'S DELI,Bronx,2344,ARTHUR AVENUE,10458.0,40.854240101806,-73.88867329616001
PIZZERIA GIOVE,Staten Island,278,NEW DORP LANE,10306.0,40.572153175602004,-74.112942474015
MIMIS RESTAURANT & BAR,Manhattan,984,SECOND AVENUE,10022.0,40.756216898717,-73.967528807602
CAFFE E VINO,Brooklyn,112,DEKALB AVENUE,11201.0,40.689801546598,-73.978162637622
ARCO CAFE,Manhattan,886,AMSTERDAM AVENUE,10025.0,40.798743957382,-73.966955373482
BACI & ABBRACCI,Brooklyn,204,GRAND STREET,11211.0,40.714096228774,-73.960342171006
IL COLOSSEO,Brooklyn,7704,18 AVENUE,11214.0,40.612112600006,-73.99728072208
I TRULLI/RISTORO DEL CINGHIALE,Manhattan,122,EAST   27 STREET,10016.0,40.742252215353,-73.98348633731301
BASSO56,Manhattan,234,WEST   56 STREET,10019.0,40.765607212932,-73.982375856421
'CESCA,Manhattan,166,WEST   75 STREET,10023.0,40.78037906375,-73.97981185354101
ANTICA RISTORANTE,Manhattan,8,STONE STREET,10004.0,40.704018105174,-74.012637796938
LA RIVISTA RESTAURANT,Manhattan,313,WEST   46 STREET,10036.0,40.760074567147996,-73.988589661552
MANGIA,Manhattan,22,WEST   23 STREET,10010.0,40.741937365615,-73.990534280688
VESTA TRATTORIA & WINE BAR,Queens,21-02,30 AVENUE,11102.0,40.769782471136,-73.927610819047
ELIO'S,Manhattan,1621,SECOND AVENUE,10028.0,40.776704064109,-73.95260687884401
TRATTORIA IL GUSTO,Manhattan,625,COLUMBUS AVENUE,10024.0,40.789278182078,-73.970119989504
CAFFE NAPOLI,Manhattan,191,HESTER STREET,10013.0,40.718115916207,-73.997803067196
IL BACCO RISTORANTE,Queens,253-24,NORTHERN BOULEVARD,11362.0,40.770894383727004,-73.735287834587
BOTTINO,Manhattan,248,10 AVENUE,10001.0,40.748601985022,-74.003493609025
ANTICA RISTORANTE,Manhattan,8,STONE STREET,10004.0,40.704018105174,-74.012637796938
LUPA OSTERIA ROMANA,Manhattan,170,THOMPSON STREET,10012.0,40.727667725853,-74.00029224493
EPISTROPHY CAFE,Manhattan,200,MOTT STREET,10012.0,40.721310761339005,-73.995573454398
BELLI OSTERIA,Brooklyn,860,FULTON STREET,11238.0,40.68343366962,-73.96673871209501
FRANK'S PIZZERIA/DA FRANCO AND TONY RESTAURANT,Bronx,2823,MIDDLETOWN ROAD,10461.0,40.843477461476,-73.83561217911999
PEPE GIALLO,Manhattan,195,10 AVENUE,10011.0,40.746762945523,-74.004850496297
RISTORANTE SETTEPANI,Manhattan,196,LENOX AVENUE,10026.0,40.804434992313,-73.947905724768
BARILLA RESTAURANTS,Manhattan,1290,AVENUE OF THE AMERICAS,10119.0,40.760850108553,-73.979716722068
PATRIZIAS OF BROOKLYN,Manhattan,462,2 AVENUE,10016.0,40.739910271249,-73.979398344841
TERROIR TRIBECA,Manhattan,24,HARRISON STREET,10013.0,40.718766008443,-74.010032397316
BUONA NOTTE,Manhattan,120,MULBERRY STREET,10013.0,40.717778315856,-73.998149391137
IL BACCO RISTORANTE,Queens,253-24,NORTHERN BOULEVARD,11362.0,40.770894383727004,-73.735287834587
CAFE LUNA,Staten Island,1300,HYLAN BOULEVARD,10305.0,40.596586329156,-74.08557425883299
OLIVE GARDEN,Queens,92-10,59 AVENUE,11373.0,40.734226802318,-73.868805094031
RISTORANTE LUNA,Manhattan,115,MULBERRY STREET,10013.0,40.717676760803,-73.99823597202699
LA BELLA VITA,Manhattan,163,MULBERRY STREET,10013.0,40.719746293725,-73.99714283495999
