DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
MOSS CAFE,Bronx,3260,JOHNSON AVENUE,10463.0,40.885290754498,-73.910096183476
WRAP N ROLL,Brooklyn,1119,QUENTIN ROAD,11229.0,40.607873762842004,-73.96168763491
RAZAG HALL,Brooklyn,739,EAST NEW YORK AVENUE,11203.0,40.662339248045,-73.93828520141
SCHICK'S MANOR,Brooklyn,4901,12 AVENUE,11219.0,40.636266592592,-73.994386523991
MAMA KITCHEN NY,Brooklyn,7,ROCHESTER AVENUE,11233.0,40.678883862968,-73.927374573754
CROWN HEIGHTS BUNCH-O-BAGELS AND MORE,Brooklyn,361,TROY AVENUE,11213.0,40.666041216646,-73.936930031749
MOISHE'S PLACE,Brooklyn,868,BEDFORD AVENUE,11205.0,40.695218962567,-73.956282043244
RIVERDALE SECOND HELPING,Bronx,3532,JOHNSON AVENUE,10463.0,40.886026146872,-73.909849256915
SIMCHA PALACE,Queens,7327,MAIN ST,11367.0,40.724552255007,-73.820699788433
UPSIDE CRAFT BURGERS,Brooklyn,4102,18 AVENUE,11218.0,40.632025939211005,-73.97446355555101
NAOMI KOSHER PIZZA,Queens,6828,MAIN STREET,11367.0,40.732466303424,-73.82481705153201
PAVILLION CATERERS,Brooklyn,1478,39 STREET,11218.0,40.638343199407004,-73.98253931020001
MUSCAT CAFE,Queens,17805,UNION TURNPIKE,11366.0,40.726363564215,-73.789840133588
BARNEY GREENGRASS,Manhattan,541,AMSTERDAM AVENUE,10024.0,40.787824607234,-73.97489469674301
HALFTIME GRILL,Brooklyn,2112,FLATBUSH AVENUE,11234.0,40.618378143797,-73.932242169465
SIMCHA PALACE,Queens,7327,MAIN ST,11367.0,40.724552255007,-73.820699788433
MR BROADWAY KOSHER RESTAURANT,Manhattan,1372,BROADWAY,10018.0,40.752262863231,-73.98745407546
HUMMUS KITCHEN,Manhattan,768,9 AVENUE,10019.0,40.764342637391,-73.988307350922
ASIA PALACE,Brooklyn,4813,NEW UTRECHT AVENUE,11219.0,40.637246492579,-73.994653067269
FALAFEL OFF THE KORNER,Brooklyn,1675,EAST    2 STREET,11223.0,40.60849702708,-73.971821888576
CHAIKHANA 7:40,Queens,6352,BOOTH ST,11374.0,40.728846734493,-73.863818604788
SCHNITZI,Brooklyn,5326,NEW UTRECHT AVENUE,11219.0,40.632939954317,-73.995226262185
EAT N' RUN,Brooklyn,2574,CONEY ISLAND AVENUE,11223.0,40.594069955619,-73.96087822295999
THE LOFT STEAKHOUSE,Brooklyn,1306,40 STREET,11218.0,40.639798464238,-73.98645920168299
PAVILLION CATERERS,Brooklyn,1478,39 STREET,11218.0,40.638343199407004,-73.98253931020001
SCHNITZI,Brooklyn,5326,NEW UTRECHT AVENUE,11219.0,40.632939954317,-73.995226262185
KAILASH PARBAT,Manhattan,99,LEXINGTON AVENUE,10016.0,40.742106647057,-73.98283319031
BAGEL BOSS,Manhattan,544,3 AVENUE,10016.0,40.747153261681,-73.977089931602
ICE CREAM HOUSE ON 36,Brooklyn,2,CHURCH AVENUE,11218.0,40.641222580335004,-73.983241191485
KING SOLOMON CATERING & RESTAURANT,Brooklyn,1787,CONEY ISLAND AVENUE,11230.0,40.61381942915,-73.963088905664
CHO-SEN GARDEN,Queens,6443,108 STREET,11375.0,40.732069951940005,-73.849148241932
SUSHI K BAR BP,Brooklyn,4120,16 AVENUE,11204.0,40.635161788938,-73.981225072183
MIKE'S BISTRO,Manhattan,127,EAST   54 STREET,10022.0,40.759237087203005,-73.971093692375
KAFF KAFE,Brooklyn,5320,16 AVENUE,11204.0,40.628654818507,-73.987996174169
LE MARAIS,Manhattan,150,WEST   46 STREET,10036.0,40.75797697788,-73.983677342774
THE UPPER CRUST,Queens,6711,MAIN ST,11367.0,40.733872390481,-73.825318503522
MOISHE'S PIZZA & DAIRY RESTAURANT,Brooklyn,4416,FORT HAMILTON PARKWAY,11219.0,40.640515518695004,-73.994461833035
THE NEW PIZZA PROFESSOR,Brooklyn,1824,AVENUE M,11230.0,40.618368026274,-73.956649549837
ARZU RESTAURANT,Queens,10105,QUEENS BLVD,11375.0,40.7267212682,-73.851924059831
MINT,Brooklyn,535,KINGS HIGHWAY,11223.0,40.604494557966,-73.96959079059499
OSHI'S CAFE,Brooklyn,2913,QUENTIN ROAD,11229.0,40.609798907441004,-73.94420451557
BAGEL BOSS,Manhattan,544,3 AVENUE,10016.0,40.747153261681,-73.977089931602
MY GRILL BAR,Brooklyn,1022,AVENUE P,11223.0,40.609897123018996,-73.963065871678
CAFE ROMA PIZZERIA,Manhattan,854,AMSTERDAM AVENUE,10025.0,40.797676471098,-73.967732436262
YOGURT LA CREPE,Queens,2902,DITMARS BLVD,11105.0,40.776712707678,-73.911550389917
MOZZARELLA,Brooklyn,264,LEE AVENUE,11206.0,40.699892295057,-73.953696746066
FALAFEL SPOT,Brooklyn,6002,FOSTER AVENUE,11236.0,40.640278675559,-73.919374365639
YESHIVA UNIVERSITY - CARDOZO LAW SCHOOL PANTRY,Manhattan,5355,5 AVENUE,,0.0,0.0
SHAARE ZION CATERERS,Brooklyn,2030,OCEAN PARKWAY,11223.0,40.599256423737,-73.965761724961
ARZU RESTAURANT,Queens,10105,QUEENS BLVD,11375.0,40.7267212682,-73.851924059831
KAILASH PARBAT,Manhattan,99,LEXINGTON AVENUE,10016.0,40.742106647057,-73.98283319031
MOZZARELLA,Brooklyn,264,LEE AVENUE,11206.0,40.699892295057,-73.953696746066
CHEESY KOSHER PIZZA,Brooklyn,314-316,MARCY AVE,11211.0,40.704040081324,-73.954790284367
