DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
RUSSIAN SAMOVAR,Manhattan,256,WEST   52 STREET,10019.0,40.763104258677004,-73.984192295536
VARENICHNAYA - PELMINI VARENICHKY,Brooklyn,3086,BRIGHTON    2 STREET,11235.0,40.576548577596995,-73.96505705633899
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
ROYAL GARDEN TBILISI,Brooklyn,230,KINGS HIGHWAY,11223.0,40.605397529131,-73.982371494666
OASIS CAFE,Brooklyn,2689,CONEY ISLAND AVENUE,11235.0,40.591053347963,-73.960627958371
RUSSIAN SAMOVAR,Manhattan,256,WEST   52 STREET,10019.0,40.763104258677004,-73.984192295536
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
SIGNATURE RESTAURANT/FALADA,Brooklyn,2007,EMMONS AVENUE,11235.0,40.583692239804,-73.947923769384
RUSSIAN TURKISH BATHS,Manhattan,268,EAST   10 STREET,10009.0,40.728344489977005,-73.983453717052
EL TIMBIRICHI RESTAURANT,Bronx,168,EAST  174 STREET,10457.0,40.844805209289,-73.909102951764
CAFE EUROASIA,Brooklyn,602,BRIGHTON BEACH AVENUE,11235.0,40.577626069185,-73.961294672205
SIGNATURE RESTAURANT/FALADA,Brooklyn,2007,EMMONS AVENUE,11235.0,40.583692239804,-73.947923769384
TAP BEER,Brooklyn,1781,SHEEPSHEAD BAY ROAD,11235.0,40.584171102484,-73.950792738413
OASIS CAFE,Brooklyn,2689,CONEY ISLAND AVENUE,11235.0,40.591053347963,-73.960627958371
CARAVAN,Brooklyn,1797,MCDONALD AVENUE,11230.0,40.609452521682,-73.973107236612
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
VAN'KA VSTAN'KA,Brooklyn,3810,NOSTRAND AVENUE,11235.0,40.590816601488,-73.940047410947
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
DARINA CAFE,Staten Island,315,SAND LANE,10305.0,40.592170781884,-74.067986779005
OLEANDR RESTAURANT,Brooklyn,410,BRIGHTON BEACH AVENUE,11235.0,40.577242386369,-73.963073199241
OASIS CAFE,Brooklyn,2689,CONEY ISLAND AVENUE,11235.0,40.591053347963,-73.960627958371
CMOLOVAR,Brooklyn,813,AVENUE U,11223.0,40.598127397561996,-73.962816740796
DEJAVU RESTAURANT,Brooklyn,262,KINGS HIGHWAY,11223.0,40.605251832989,-73.980981423324
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
OASIS CAFE,Brooklyn,2689,CONEY ISLAND AVENUE,11235.0,40.591053347963,-73.960627958371
TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235.0,40.587828989353,-73.955247301157
SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,40.577658983497,-73.961226256328
CAFE EUROASIA,Brooklyn,602,BRIGHTON BEACH AVENUE,11235.0,40.577626069185,-73.961294672205
RESTAURANT TATIANA,Brooklyn,3152,BRIGHTON    6 STREET,11235.0,40.575721132043,-73.961137392526
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
SIGNATURE RESTAURANT/FALADA,Brooklyn,2007,EMMONS AVENUE,11235.0,40.583692239804,-73.947923769384
RUSSIAN TURKISH BATHS,Manhattan,268,EAST   10 STREET,10009.0,40.728344489977005,-73.983453717052
MATRYOSHKA (SPA 88),Manhattan,88,FULTON STREET,10038.0,40.709291351284,-74.005944276042
Z FANCY FOODZ,Brooklyn,1212,AVENUE Z,11235.0,40.587580159348995,-73.957735320661
TSOB-TSOBE CAFE LOUNGE BAR,Brooklyn,2817,CONEY ISLAND AVENUE,11235.0,40.587828136795004,-73.960381441103
MATRYOSHKA (SPA 88),Manhattan,88,FULTON STREET,10038.0,40.709291351284,-74.005944276042
ALMAZ RESTAURANT,Brooklyn,238,KINGS HIGHWAY,11223.0,40.605342559227,-73.981896134198
5 STAR VILLAGE CAFE,Brooklyn,1968,CONEY ISLAND AVENUE,11223.0,40.609180462632,-73.962234315309
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235.0,40.587828989353,-73.955247301157
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
ANYWAY CAFE & BAR,Brooklyn,1602,GRAVESEND NECK ROAD,11229.0,40.595053025776,-73.95462310848501
SIGNATURE RESTAURANT/FALADA,Brooklyn,2007,EMMONS AVENUE,11235.0,40.583692239804,-73.947923769384
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
GURMAN RESTAURANT,Brooklyn,2402,CONEY ISLAND AVENUE,11223.0,40.598684061231,-73.961224802721
CAFE TABU,Brooklyn,2205,AVENUE X,11235.0,40.592988885852,-73.948028111643
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
RUSSIAN SAMOVAR,Manhattan,256,WEST   52 STREET,10019.0,40.763104258677004,-73.984192295536
RUSSIAN VODKA ROOM,Manhattan,265,WEST   52 STREET,10019.0,40.763175639217,-73.98431501489199
TSOB-TSOBE CAFE LOUNGE BAR,Brooklyn,2817,CONEY ISLAND AVENUE,11235.0,40.587828136795004,-73.960381441103
5 STAR VILLAGE CAFE,Brooklyn,1968,CONEY ISLAND AVENUE,11223.0,40.609180462632,-73.962234315309
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
ATLAS STEAKHOUSE,Brooklyn,943,CONEY ISLAND AVENUE,11230.0,40.634348966634995,-73.967361352111
SIGNATURE RESTAURANT/FALADA,Brooklyn,2007,EMMONS AVENUE,11235.0,40.583692239804,-73.947923769384
CHINAR RESTAURANT,Brooklyn,2775,CONEY ISLAND AVENUE,11235.0,40.588904122216,-73.960463610326
ALMAZ RESTAURANT,Brooklyn,238,KINGS HIGHWAY,11223.0,40.605342559227,-73.981896134198
BAKU PALACE,Brooklyn,2001,EMMONS AVENUE,11235.0,40.583684087202,-73.948103783475
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
UMA'S,Queens,92-07,ROCKAWAY BEACH BOULEVARD,11693.0,40.586355312114,-73.815650198394
THE BOMOND RESTAURANT,Staten Island,4072,HYLAN BOULEVARD,10308.0,40.540317940614,-74.147661320466
CHINAR RESTAURANT,Brooklyn,2775,CONEY ISLAND AVENUE,11235.0,40.588904122216,-73.960463610326
ALMAZ RESTAURANT,Brooklyn,238,KINGS HIGHWAY,11223.0,40.605342559227,-73.981896134198
B66 CLUB,Brooklyn,6612,NEW UTRECHT AVENUE,11219.0,40.622765123659,-73.997961115377
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
GOLDEN LEO RESTAURANT,Brooklyn,1794,SHEEPSHEAD BAY ROAD,11235.0,40.584042075768,-73.95074243141799
SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,40.577658983497,-73.961226256328
CAFE BORABORA,Queens,9708,QUEENS BLVD,11374.0,40.729209804938,-73.85989230109101
TATIANA GRILL AND CAFE,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
RUSSIAN TURKISH BATHS,Manhattan,268,EAST   10 STREET,10009.0,40.728344489977005,-73.983453717052
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
RESTAURANT TATIANA,Brooklyn,3152,BRIGHTON    6 STREET,11235.0,40.575721132043,-73.961137392526
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
MATRYOSHKA (SPA 88),Manhattan,88,FULTON STREET,10038.0,40.709291351284,-74.005944276042
TATIANA GRILL AND CAFE,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
COFFEE SPOT CAFE,Brooklyn,1617,JEROME AVENUE,11235.0,40.587207614012,-73.952630268544
FOTEH'S TANDOORI,Brooklyn,2650,CONEY ISLAND AVENUE,11223.0,40.592115616554,-73.96073174732899
RIVEL GRILL & BAR,Brooklyn,1809,EMMONS AVENUE,11235.0,40.583470937139,-73.950228033896
ANYWAY CAFE & BAR,Brooklyn,1602,GRAVESEND NECK ROAD,11229.0,40.595053025776,-73.95462310848501
ANYWAY CAFE & BAR,Brooklyn,1602,GRAVESEND NECK ROAD,11229.0,40.595053025776,-73.95462310848501
CMOLOVAR,Brooklyn,813,AVENUE U,11223.0,40.598127397561996,-73.962816740796
UMA'S,Queens,92-07,ROCKAWAY BEACH BOULEVARD,11693.0,40.586355312114,-73.815650198394
DARINA CAFE,Staten Island,315,SAND LANE,10305.0,40.592170781884,-74.067986779005
SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,40.577658983497,-73.961226256328
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
GOLDEN LEO RESTAURANT,Brooklyn,1794,SHEEPSHEAD BAY ROAD,11235.0,40.584042075768,-73.95074243141799
CHINAR ON THE ISLAND,Staten Island,283,SAND LANE,10305.0,40.592596091025,-74.068210453189
TATIANA GRILL AND CAFE,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
BELARUSSIAN XATA,Brooklyn,1655,SHEEPSHEAD BAY ROAD,11235.0,40.586529534874,-73.952349927343
CMOLOVAR,Brooklyn,813,AVENUE U,11223.0,40.598127397561996,-73.962816740796
OASIS CAFE,Brooklyn,2689,CONEY ISLAND AVENUE,11235.0,40.591053347963,-73.960627958371
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
CHINAR ON THE ISLAND,Staten Island,283,SAND LANE,10305.0,40.592596091025,-74.068210453189
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
THE RUSSIAN TEA ROOM,Manhattan,150,WEST   57 STREET,10019.0,40.76516752914,-73.979249711961
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
MUNCHBOX 21,Brooklyn,3100,OCEAN PARKWAY,11235.0,40.575860673145,-73.968639149456
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
GOLDEN LEO RESTAURANT,Brooklyn,1794,SHEEPSHEAD BAY ROAD,11235.0,40.584042075768,-73.95074243141799
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
RESTAURANT TATIANA,Brooklyn,3152,BRIGHTON    6 STREET,11235.0,40.575721132043,-73.961137392526
SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,40.577658983497,-73.961226256328
GURMAN RESTAURANT,Brooklyn,2402,CONEY ISLAND AVENUE,11223.0,40.598684061231,-73.961224802721
SHERDOR RESTAURANT,Brooklyn,1917,AVENUE U,11229.0,40.599287284428,-73.952290373641
ALMAZ RESTAURANT,Brooklyn,238,KINGS HIGHWAY,11223.0,40.605342559227,-73.981896134198
CHILLAX MANHATTAN BEACH CAFE,Brooklyn,184,OXFORD STREET,11235.0,40.578527066455,-73.93795615768501
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
VIS-A-VIS,Brooklyn,3100,OCEAN PARKWAY,11235.0,40.575860673145,-73.968639149456
TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235.0,40.587828989353,-73.955247301157
TSOB-TSOBE CAFE LOUNGE BAR,Brooklyn,2817,CONEY ISLAND AVENUE,11235.0,40.587828136795004,-73.960381441103
RUSSIAN SAMOVAR,Manhattan,256,WEST   52 STREET,10019.0,40.763104258677004,-73.984192295536
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
VAN'KA VSTAN'KA,Brooklyn,3810,NOSTRAND AVENUE,11235.0,40.590816601488,-73.940047410947
GOLDEN LEO RESTAURANT,Brooklyn,1794,SHEEPSHEAD BAY ROAD,11235.0,40.584042075768,-73.95074243141799
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235.0,40.587828989353,-73.955247301157
TATIANA GRILL AND CAFE,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
FOTEH'S TANDOORI,Brooklyn,2650,CONEY ISLAND AVENUE,11223.0,40.592115616554,-73.96073174732899
TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235.0,40.587828989353,-73.955247301157
OCEAN VIEW CAFE,Brooklyn,290,BRIGHTON BEACH AVENUE,11235.0,40.576940905098,-73.964480884059
CARAVAN,Brooklyn,1797,MCDONALD AVENUE,11230.0,40.609452521682,-73.973107236612
SIGNATURE RESTAURANT/FALADA,Brooklyn,2007,EMMONS AVENUE,11235.0,40.583692239804,-73.947923769384
THE BOMOND RESTAURANT,Staten Island,4072,HYLAN BOULEVARD,10308.0,40.540317940614,-74.147661320466
EL TIMBIRICHI RESTAURANT,Bronx,168,EAST  174 STREET,10457.0,40.844805209289,-73.909102951764
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
CMOLOVAR,Brooklyn,813,AVENUE U,11223.0,40.598127397561996,-73.962816740796
ATLAS STEAKHOUSE,Brooklyn,943,CONEY ISLAND AVENUE,11230.0,40.634348966634995,-73.967361352111
OCEAN VIEW CAFE,Brooklyn,290,BRIGHTON BEACH AVENUE,11235.0,40.576940905098,-73.964480884059
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
TRIO RESTAURANT,Queens,18134,UNION TPKE,11365.0,40.727455230203,-73.786459625901
TETE-A-TETE,Brooklyn,2601,EAST   14 STREET,11235.0,40.587828989353,-73.955247301157
ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003.0,40.725111977320005,-73.990767580428
B66 CLUB,Brooklyn,6612,NEW UTRECHT AVENUE,11219.0,40.622765123659,-73.997961115377
SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,40.577658983497,-73.961226256328
THE LIGHTS OF BAKU,Brooklyn,2707,86 STREET,11223.0,40.594640615253,-73.981769420041
HOME MADE COOKING CAFE,Brooklyn,504,BRIGHTON BEACH AVENUE,11235.0,40.577431490011,-73.962194739292
TATIANA GRILL AND CAFE,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
ATLAS STEAKHOUSE,Brooklyn,943,CONEY ISLAND AVENUE,11230.0,40.634348966634995,-73.967361352111
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
DARINA CAFE,Staten Island,315,SAND LANE,10305.0,40.592170781884,-74.067986779005
SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,40.577658983497,-73.961226256328
ALMAZ RESTAURANT,Brooklyn,238,KINGS HIGHWAY,11223.0,40.605342559227,-73.981896134198
CMOLOVAR,Brooklyn,813,AVENUE U,11223.0,40.598127397561996,-73.962816740796
CHINAR ON THE ISLAND,Staten Island,283,SAND LANE,10305.0,40.592596091025,-74.068210453189
BELARUSSIAN XATA,Brooklyn,1655,SHEEPSHEAD BAY ROAD,11235.0,40.586529534874,-73.952349927343
MATRYOSHKA (SPA 88),Manhattan,88,FULTON STREET,10038.0,40.709291351284,-74.005944276042
GURMAN RESTAURANT,Brooklyn,2402,CONEY ISLAND AVENUE,11223.0,40.598684061231,-73.961224802721
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
5 STAR VILLAGE CAFE,Brooklyn,1968,CONEY ISLAND AVENUE,11223.0,40.609180462632,-73.962234315309
GURMAN RESTAURANT,Brooklyn,2402,CONEY ISLAND AVENUE,11223.0,40.598684061231,-73.961224802721
CAFE VOLNA,Brooklyn,3145,BRIGHTON    4 STREET,11235.0,40.575579011727,-73.96297333036101
MARI VANNA,Manhattan,41,EAST   20 STREET,10003.0,40.738874077713,-73.98904798618901
SKAZKA,Brooklyn,2334,CONEY ISLAND AVENUE,11223.0,40.599916503298004,-73.96132131211
DOLMA RESTAURANT,Brooklyn,311,AVENUE X,11223.0,40.590406054254,-73.971491103146
VESELKA ESSEX,Manhattan,115,DELANCEY STREET,10002.0,40.718502330547,-73.988084546292
BELARUSSIAN XATA,Brooklyn,1655,SHEEPSHEAD BAY ROAD,11235.0,40.586529534874,-73.952349927343
GOLDEN LEO RESTAURANT,Brooklyn,1794,SHEEPSHEAD BAY ROAD,11235.0,40.584042075768,-73.95074243141799
CAFE LILY,Brooklyn,42,AVENUE O,11204.0,40.61024500136,-73.983583946027
ROXY'S,Queens,2279,STEINWAY ST,11105.0,40.771590607643,-73.90757861032
OCEAN VIEW CAFE,Brooklyn,290,BRIGHTON BEACH AVENUE,11235.0,40.576940905098,-73.964480884059
