Name,Address,NATIONALITY final
Asahi Tea Room ,61 W38th,Chinese
Asiatic ,141 W48th,Chinese
At the Sign of the Green Tea Pot ,31 W33d,Chinese
Beem Nom Low ,488 6th av,Chinese
Bun Jan Co ,1565 Bway,Chinese
Cafe Mandarin ,11 Doyers,Chinese
Canton Ley S ,"48, 6th av",Chinese
Chinese Delmonico ,"24 Pell, Strictly first class, Telephone Franklin 459",Chinese
Chinese Tea Parlor ,103 W44th,Chinese
Chinese Tuxedo Restaurant ,2 Doyers,Chinese
Chong On ,44 W133d,Chinese
Duck Chee ,16 Doyers,Chinese
Far East Tea Garden & Chinese Restaurant ,10 Columbus circle,Chinese
Foy George ,492 8th av,Chinese
Foy James ,"4182, 3d av",Chinese
Garden of Cathay Inc ,313 W 125th,Chinese
Gee’s Restaurant ,404 W14th,Chinese
Hong Fong Low ,"2322, 8th av",Chinese
Hop Sing ,11 Pell,Chinese
Hue Ernest R ,"650 , 8th av & 165 W23d",Chinese
Hue Ernest R ,"650 , 8th av & 165 W23d",Chinese
King Hong Lau Co ,16 Mott,Chinese
Lai Hule Co ,13 Doyers,Chinese
Lee Charles ,149 E125th,Chinese
Lee Chin ,66 Columbus av,Chinese
Lee Hung ,36 Pell,Chinese
Lee Tuck & Co ,"677, 3d av",Chinese
Le Mon Inc ,26 E28th & 10 W28th,Chinese
Le Mon Inc ,26 E28th & 10 W28th,Chinese
Low Charles Sing ,165 W34th,Chinese
Lustgarten’s Oriental Restaurant ,54 W116th,Chinese
Mandarin Co ,"2807 & 2861, 3d av",Chinese
Mandarin Co ,"2807 & 2861, 3d av",Chinese
Mann Fong Lowe Co ,3 Pell,Chinese
Mee Wah Co ,"134, 3d av",Chinese
Mi Chan ,"610, 8th av",Chinese
Mon Lay Won & Co ,24 Pell,Chinese
Nam Young ,322 W125th,Chinese
New Garden Restaurant Inc ,45 W 28th,Chinese
On Chong ,44 W133d,Chinese
Oriental Co ,"584, 7th av",Chinese
Oriental Lunch ,"2139, 3d av",Chinese
Oriental Restaurant ,3 Pell,Chinese
Oriental Tea Parlor ,203 W23d ,Chinese
Paris Tea Room ,72 Wall,Chinese
Pekin Restaurant Co ,1576 Bway,Chinese
Port Arthur ,"7 & 9 Mott St. near Worth St, leading Chinese cafe & restaurant, Tel Worth 2871",Chinese
Port Arthur ,"7 & 9 Mott St. near Worth St, leading Chinese cafe & restaurant, Tel Worth 2871",Chinese
Qung Chang Wumg ,11 Doyers,Chinese
Sam Chu ,12 1/2 Pell,Chinese
Sing Yet P ,"549, 8th av",Chinese
Soon Lee Low ,"2717, 8th av",Chinese
Sun Restaurant Co Inc ,"676, 8th av",Chinese
Teck Lunch ,"235, 4th av",Chinese
Tsue Hing Low & Co ,219 W125th,Chinese
Uie Ye Kwen & Co ,36 Pell,Chinese
Wah Jim ,259 W42d,Chinese
Win Lee ,"2312, 3d av",Chinese
Wing Kee ,16 Doyers,Chinese
Wing Lock Lou ,79 W125th,Chinese
Wing Sing ,3 Doyers,Chinese
Yet Wah Low ,103 W44th,Chinese
Yin Win Lowe Co ,164 W125th,Chinese
